iter	Passed	Remaining
0	2	1337
1	5	1321
2	8	1313
3	11	1320
4	14	1319
5	17	1315
6	20	1314
7	23	1310
8	26	1307
9	29	1304
10	32	1302
11	35	1298
12	38	1294
13	41	1292
14	44	1288
15	47	1286
16	49	1284
17	52	1283
18	55	1277
19	58	1272
20	61	1267
21	64	1263
22	67	1259
23	70	1255
24	72	1249
25	75	1246
26	78	1241
27	81	1236
28	84	1233
29	86	1229
30	89	1226
31	92	1221
32	95	1218
33	98	1215
34	101	1210
35	103	1207
36	106	1203
37	109	1199
38	112	1194
39	115	1190
40	117	1186
41	120	1183
42	123	1180
43	126	1177
44	129	1173
45	131	1169
46	134	1166
47	137	1162
48	140	1160
49	143	1156
50	145	1151
51	148	1148
52	151	1144
53	154	1140
54	156	1138
55	159	1135
56	162	1132
57	165	1129
58	168	1126
59	171	1123
60	173	1119
61	176	1117
62	179	1114
63	182	1110
64	184	1106
65	187	1103
66	190	1099
67	193	1096
68	196	1094
69	198	1091
70	201	1088
71	204	1084
72	207	1081
73	210	1078
74	212	1075
75	215	1072
76	218	1069
77	221	1065
78	223	1062
79	226	1059
80	229	1055
81	232	1053
82	234	1050
83	237	1047
84	240	1044
85	243	1041
86	246	1038
87	248	1035
88	251	1032
89	254	1029
90	257	1026
91	260	1023
92	262	1020
93	265	1017
94	268	1014
95	271	1011
96	274	1008
97	276	1005
98	279	1003
99	282	1000
100	285	997
101	288	994
102	291	991
103	293	989
104	296	986
105	299	983
106	302	980
107	305	978
108	308	974
109	310	971
110	313	969
111	316	966
112	319	963
113	321	960
114	324	956
115	327	953
116	330	950
117	332	947
118	335	945
119	338	942
120	341	939
121	344	936
122	346	933
123	349	930
124	352	927
125	355	924
126	357	921
127	360	918
128	363	915
129	366	912
130	368	909
131	371	907
132	374	903
133	377	900
134	379	897
135	382	894
136	385	891
137	388	889
138	391	886
139	393	883
140	396	880
141	399	877
142	402	874
143	405	871
144	407	868
145	410	866
146	413	863
147	416	860
148	419	857
149	421	854
150	424	851
151	427	848
152	429	845
153	432	842
154	435	839
155	438	836
156	440	833
157	443	830
158	446	828
159	449	825
160	451	822
161	454	819
162	457	816
163	460	813
164	462	810
165	465	807
166	468	805
167	471	802
168	474	799
169	477	796
170	479	794
171	482	791
172	485	788
173	488	785
174	490	782
175	493	779
176	496	777
177	499	774
178	502	771
179	504	768
180	507	765
181	510	762
182	513	759
183	515	756
184	518	754
185	521	751
186	524	748
187	527	745
188	529	742
189	532	740
190	535	737
191	538	734
192	540	731
193	543	728
194	546	726
195	549	723
196	552	720
197	554	717
198	557	714
199	560	711
200	563	709
201	566	706
202	568	703
203	571	700
204	574	698
205	577	695
206	580	692
207	582	689
208	585	686
209	588	683
210	591	681
211	594	678
212	596	675
213	599	672
214	602	669
215	605	666
216	608	664
217	610	661
218	613	658
219	616	655
220	618	652
221	621	649
222	624	646
223	627	643
224	629	641
225	632	638
226	635	635
227	638	632
228	641	629
229	643	627
230	646	624
231	649	621
232	652	618
233	655	615
234	657	613
235	660	610
236	663	607
237	666	604
238	668	601
239	671	598
240	674	596
241	677	593
242	680	590
243	683	587
244	686	585
245	688	582
246	691	579
247	694	576
248	697	574
249	700	571
250	702	568
251	705	565
252	708	562
253	711	559
254	713	557
255	716	554
256	719	551
257	722	548
258	724	545
259	727	542
260	730	540
261	733	537
262	735	534
263	738	531
264	741	528
265	744	526
266	747	523
267	749	520
268	752	517
269	755	514
270	757	511
271	760	508
272	763	506
273	766	503
274	768	500
275	771	497
276	774	494
277	777	492
278	780	489
279	782	486
280	785	483
281	788	480
282	791	478
283	794	475
284	796	472
285	799	469
286	802	466
287	805	464
288	807	461
289	810	458
290	813	455
291	816	452
292	819	450
293	821	447
294	824	444
295	827	441
296	830	438
297	832	436
298	835	433
299	838	430
300	841	427
301	844	424
302	846	422
303	849	419
304	852	416
305	855	413
306	857	410
307	860	408
308	863	405
309	866	402
310	868	399
311	871	396
312	874	393
313	877	391
314	879	388
315	882	385
316	885	382
317	888	379
318	890	377
319	893	374
320	896	371
321	899	368
322	901	365
323	904	362
324	907	360
325	910	357
326	912	354
327	915	351
328	918	348
329	921	346
330	923	343
331	926	340
332	929	337
333	932	334
334	935	332
335	937	329
336	940	326
337	943	323
338	946	320
339	948	318
340	951	315
341	954	312
342	957	309
343	959	306
344	962	304
345	965	301
346	967	298
347	970	295
348	973	292
349	976	290
350	979	287
351	981	284
352	984	281
353	987	278
354	990	276
355	992	273
356	995	270
357	998	267
358	1001	264
359	1003	262
360	1006	259
361	1009	256
362	1012	253
363	1014	250
364	1017	248
365	1020	245
366	1023	242
367	1025	239
368	1028	236
369	1031	234
370	1034	231
371	1036	228
372	1039	225
373	1042	223
374	1045	220
375	1048	217
376	1050	214
377	1053	211
378	1056	209
379	1059	206
380	1062	203
381	1064	200
382	1067	197
383	1070	195
384	1073	192
385	1076	189
386	1079	186
387	1081	184
388	1084	181
389	1087	178
390	1090	175
391	1092	172
392	1095	170
393	1098	167
394	1101	164
395	1103	161
396	1106	158
397	1109	156
398	1111	153
399	1114	150
400	1117	147
401	1120	144
402	1123	142
403	1125	139
404	1128	136
405	1131	133
406	1134	130
407	1136	128
408	1139	125
409	1142	122
410	1145	119
411	1148	117
412	1150	114
413	1153	111
414	1156	108
415	1159	105
416	1161	103
417	1164	100
418	1167	97
419	1169	94
420	1172	91
421	1175	89
422	1178	86
423	1180	83
424	1183	80
425	1186	77
426	1189	75
427	1191	72
428	1194	69
429	1197	66
