fighter_name,has_ufc_stats_url,ufc_stats_url
AJ Cunningham,True,http://ufcstats.com/fighter-details/d1053e55f00e53fe
AJ Dobson,True,http://ufcstats.com/fighter-details/009c4420727149ea
AJ Fletcher,True,http://ufcstats.com/fighter-details/725b1abc9a39d873
Aaron Phillips,True,http://ufcstats.com/fighter-details/34c2b3656f88f7ef
Aaron Pico,True,http://ufcstats.com/fighter-details/5537efc6e496dd84
Abdul Rakhman Yakhyaev,True,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0
Abdul Razak Alhassan,True,http://ufcstats.com/fighter-details/eae431e70064e046
Abdul-Kareem Al-Selwady,True,http://ufcstats.com/fighter-details/597499ac7a5aac62
Abu Azaitar,True,http://ufcstats.com/fighter-details/46d0a888d87d91ac
Abubakar Nurmagomedov,True,http://ufcstats.com/fighter-details/029e1293e609fd74
Abus Magomedov,True,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Adam Fugitt,True,http://ufcstats.com/fighter-details/a01a62132460a98d
Adrian Yanez,True,http://ufcstats.com/fighter-details/0232cabbc30a2372
Aiemann Zahabi,True,http://ufcstats.com/fighter-details/24656ef4d605c96f
Ailin Perez,True,http://ufcstats.com/fighter-details/06e4245d16fc5315
Alatengheili,True,http://ufcstats.com/fighter-details/1897b7b913736a7c
Albert Duraev,True,http://ufcstats.com/fighter-details/6b7c7460855dbbb9
Alberto Montes,True,http://ufcstats.com/fighter-details/a112097ad877a48f
Alden Coria,True,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75
Aleksa Camur,True,http://ufcstats.com/fighter-details/c2a670b22d2e196f
Aleksandar Rakic,True,http://ufcstats.com/fighter-details/333b9e5c723ac873
Aleksandre Topuria,True,http://ufcstats.com/fighter-details/4a6dff1b260bcf61
Alessandro Costa,True,http://ufcstats.com/fighter-details/3fa97913cfd205d3
Alex Caceres,True,http://ufcstats.com/fighter-details/7aa3d6964eff4877
Alex Morono,True,http://ufcstats.com/fighter-details/cdb96af67d096b1e
Alex Pereira,True,http://ufcstats.com/fighter-details/e5549c82bfb5582d
Alex Perez,True,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Alex Reyes,True,http://ufcstats.com/fighter-details/dc07493a87dc0a6e
Alexa Grasso,True,http://ufcstats.com/fighter-details/e8b731feff72294b
Alexander Hernandez,True,http://ufcstats.com/fighter-details/262a7d06203657e6
Alexander Munoz,True,http://ufcstats.com/fighter-details/f8f1ec513bcfef43
Alexander Volkanovski,True,http://ufcstats.com/fighter-details/e1248941344b3288
Alexander Volkov,True,http://ufcstats.com/fighter-details/279566840aa55bf2
Alexandr Romanov,True,http://ufcstats.com/fighter-details/c0badf3243907e59
Alexandre Pantoja,True,http://ufcstats.com/fighter-details/a0f0004aadf10b71
Alexia Thainara,True,http://ufcstats.com/fighter-details/545092d13c67aa49
Alibi Idiris,True,http://ufcstats.com/fighter-details/30cad5a751adcb48
Alice Ardelean,True,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Alice Pereira,True,http://ufcstats.com/fighter-details/81d2c551886bd5a1
Aljamain Sterling,True,http://ufcstats.com/fighter-details/cb696ebfb6598724
Allan Nascimento,True,http://ufcstats.com/fighter-details/253076a23d03dcd0
Allen Frye Jr.,True,http://ufcstats.com/fighter-details/73a78713bd899f4c
Alonzo Menifield,True,http://ufcstats.com/fighter-details/a495f599e787614f
Alvin Hines,True,http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9
Amanda Lemos,True,http://ufcstats.com/fighter-details/3df5493bb279226f
Amanda Nunes,True,http://ufcstats.com/fighter-details/80fa8218c99f9c58
Amanda Ribas,True,http://ufcstats.com/fighter-details/beecb672a279223e
Amir Albazi,True,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Andre Fialho,True,http://ufcstats.com/fighter-details/33efaf2d0941cfcf
Andre Fili,True,http://ufcstats.com/fighter-details/8fd808923cffff82
Andre Lima,True,http://ufcstats.com/fighter-details/b1f21ce050035d58
Andre Muniz,True,http://ufcstats.com/fighter-details/886264a0c9f4ea5e
Andre Petroski,True,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
Andrea Lee,True,http://ufcstats.com/fighter-details/05fa626cb33d15b8
Andreas Gustafsson,True,http://ufcstats.com/fighter-details/2caf993f53541fa1
Andrei Arlovski,True,http://ufcstats.com/fighter-details/3738e68d2261e60f
Andrey Pulyaev,True,http://ufcstats.com/fighter-details/22e07d3da1aa3475
Ange Loosa,True,http://ufcstats.com/fighter-details/1497e735d9f2560a
Angel Pacheco,True,http://ufcstats.com/fighter-details/07797f10b9569cfc
Angela Hill,True,http://ufcstats.com/fighter-details/f0feeb2192937424
Anshul Jubli,True,http://ufcstats.com/fighter-details/a72a2a769fa5a2be
Ante Delija,True,http://ufcstats.com/fighter-details/7d8435c56043b0ae
Anthony Hernandez,True,http://ufcstats.com/fighter-details/093e1f5bb73850be
Anthony Smith,True,http://ufcstats.com/fighter-details/d4c9dcd330403612
Anton Turkalj,True,http://ufcstats.com/fighter-details/82529ce93cd9a2cf
Antonio Trocoli,True,http://ufcstats.com/fighter-details/6d48a2df51749d91
Aoriqileng,True,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Ariane Carnelossi,True,http://ufcstats.com/fighter-details/c0d5c0c95c59050b
Ariane da Silva,True,http://ufcstats.com/fighter-details/6551c64fbcd1a467
Arman Tsarukyan,True,http://ufcstats.com/fighter-details/eae48ff31db420c2
Armen Petrosyan,True,http://ufcstats.com/fighter-details/369ea36e450ae62a
Arnold Allen,True,http://ufcstats.com/fighter-details/040a74bb0a465c54
Ashlee Evans-Smith,True,http://ufcstats.com/fighter-details/fc6e681bf6658faf
