name,ufc_wins,ufc_losses,sherdog_wins,sherdog_losses,sherdog_total,reasons
AJ Cunningham,11,5,4,3,7,sh_wins(4)<ufc_wins(11)
Alatengheili,17,10,13,2,16,sh_wins(13)<ufc_wins(17)
Aleksei Kunchenko,20,2,13,2,16,sh_wins(13)<ufc_wins(20)
Aleksei Oleinik,60,17,13,2,16,sh_wins(13)<ufc_wins(60)
Alex Da Silva,21,4,3,2,5,sh_wins(3)<ufc_wins(21)
Alexander Munoz,7,2,6,5,11,sh_wins(6)<ufc_wins(7)
Alexandr Romanov,18,3,13,2,16,sh_wins(13)<ufc_wins(18)
Alibi Idiris,12,1,10,1,12,sh_wins(10)<ufc_wins(12)
Amanda Cooper,3,5,13,2,16,wr_dif(0.81 vs 0.38)
Amanda Ribas,13,7,12,7,19,sh_wins(12)<ufc_wins(13)
Anderson Dos Santos,21,9,1,1,2,sh_wins(1)<ufc_wins(21); sh_total(2)<3 with ufc_wins=21
Andre Lima,11,0,5,4,10,sh_wins(5)<ufc_wins(11); wr_dif(0.50 vs 1.00)
Aoriqileng,26,12,13,2,16,sh_wins(13)<ufc_wins(26)
Askar Askarov,14,1,0,1,1,sh_wins(0)<ufc_wins(14); sh_total(1)<3 with ufc_wins=14
Austin Hubbard,17,10,16,11,27,sh_wins(16)<ufc_wins(17)
BJ Penn,16,14,13,2,16,sh_wins(13)<ufc_wins(16)
Benoit Saint Denis,17,3,13,2,16,sh_wins(13)<ufc_wins(17)
Blood Diamond,3,3,13,2,16,wr_dif(0.81 vs 0.50)
Brad Katona,16,5,14,5,19,sh_wins(14)<ufc_wins(16)
Brady Hiestand,9,2,8,2,10,sh_wins(8)<ufc_wins(9)
Brogan Walker,8,5,7,5,12,sh_wins(7)<ufc_wins(8)
Bruno Silva,23,13,0,2,2,sh_wins(0)<ufc_wins(23); sh_total(2)<3 with ufc_wins=23
Bruno Souza,10,3,7,7,15,sh_wins(7)<ufc_wins(10); wr_dif(0.47 vs 0.77)
Bryan Battle,13,2,12,3,16,sh_wins(12)<ufc_wins(13)
CB Dollaway,17,9,13,2,16,sh_wins(13)<ufc_wins(17)
Carla Esparza,20,8,19,8,27,sh_wins(19)<ufc_wins(20)
Chepe Mariscal,18,7,13,2,16,sh_wins(13)<ufc_wins(18)
Chris Beal,10,5,3,0,3,sh_wins(3)<ufc_wins(10)
