fighter,opponent,date,result,method,won,got_finish,last5_won,last5_finish_rate,event
 Jun Yong Park,Jae Young Kim,2013-12-08,loss,Decision (Unanimous)Seung Jae Lee,0,0.0,,,
 Jun Yong Park,Yul Kim,2015-02-07,win,Decision (Unanimous),1,0.0,0.0,0.0,
 Jun Yong Park,Jae Woong Kim,2015-04-05,win,KO (Knee),1,1.0,0.5,0.0,
 Jun Yong Park,Sung Won Son,2015-10-24,loss,Decision (Split),0,0.0,0.6666666666666666,0.3333333333333333,
 Jun Yong Park,Oleg Olenichev,2016-01-16,win,TKO (Retirement),1,1.0,0.5,0.25,
 Jun Yong Park,Shavkat Rakhmonov,2016-08-07,loss,Submission (Rear-Naked Choke)Vyacheslav Kiselev,0,0.0,0.6,0.4,
 Jun Yong Park,Grigoriy Sirenko,2016-11-05,win,Submission (Rear-Naked Choke)Evgeniy Zlivko,1,1.0,0.6,0.4,
 Jun Yong Park,Ray Cooper III,2017-03-25,win,Submission (Anaconda Choke),1,1.0,0.6,0.6,
 Jun Yong Park,Se Yoon Jung,2017-07-22,win,Submission (Rear-Naked Choke),1,1.0,0.6,0.6,
 Jun Yong Park,Koji Shikuwa,2017-12-23,win,TKO (Punches),1,1.0,0.8,0.8,
 Jun Yong Park,John Vake,2018-03-23,win,TKO (Punches)Gerald Burton-Batty,1,1.0,0.8,0.8,
 Jun Yong Park,Glenn Sparv,2018-07-07,win,Decision (Unanimous),1,0.0,1.0,1.0,
 Jun Yong Park,Matvey Ivanenko,2018-12-08,win,TKO (Punches),1,1.0,1.0,0.8,
 Jun Yong Park,Anthony Hernandez,2019-08-31,loss,Submission (Anaconda Choke)Steve Perceval,0,0.0,1.0,0.8,
 Jun Yong Park,Marc-Andre Barriault,2019-12-21,win,Decision (Unanimous)Thomas Fan,1,0.0,0.8,0.6,
 Jun Yong Park,John Phillips,2020-10-17,win,Decision (Unanimous)Lukasz Bosacki,1,0.0,0.8,0.4,
 Jun Yong Park,Tafon Nchukwi,2021-05-08,win,Decision (Majority)Chris Tognoni,1,0.0,0.8,0.2,
 Jun Yong Park,Gregory Rodrigues,2021-10-23,loss,KO (Punches)Keith Peterson,0,0.0,0.8,0.2,
 Jun Yong Park,Eryk Anders,2022-05-21,win,Decision (Split)Jason Herzog,1,0.0,0.6,0.0,
 Jun Yong Park,Joseph Holmes,2022-10-29,win,Submission (Rear-Naked Choke)Chris Tognoni,1,1.0,0.8,0.0,
 Jun Yong Park,Denis Tiuliulin,2023-02-04,win,Technical Submission (Rear-Naked Choke)Mark Smith,1,1.0,0.8,0.2,
 Jun Yong Park,Albert Duraev,2023-07-15,win,Submission (Rear-Naked Choke)Mark Smith,1,1.0,0.8,0.4,
 Jun Yong Park,Andre Muniz,2023-12-09,loss,Decision (Split)Chris Tognoni,0,0.0,0.8,0.6,
 Jun Yong Park,Brad Tavares,2024-10-12,win,Decision (Split)Herb Dean,1,0.0,0.8,0.6,
 Jun Yong Park,Ismail Naurdiev,2025-06-21,win,Decision (Unanimous)Lukasz Bosacki,1,0.0,0.8,0.6,
 Jun Yong Park,Ikram Aliskerov,2025-10-25,loss,Decision (Unanimous)Rich Mitchell,0,0.0,0.8,0.4,
AJ Cunningham,Steven Nguyen,2023-09-12,loss,KO/TKO Punches,0,0.0,,,
