fighter,current_elo,last_fight_date,total_fights
Eric Schafer,1431.6714036285125,2012-01-20,3
Jason Brilz,1452.2118713561463,2011-11-19,4
Brandon Vera,1452.3509643345892,2013-08-31,4
Jon Jones,1835.7563463761014,2024-11-16,19
Junior Dos Santos,1549.9702822618794,2020-12-12,19
Gabriel Gonzaga,1474.3645488695495,2016-04-10,12
Cheick Kongo,1541.7890595258564,2013-04-27,6
Paul Buentello,1476.0,2010-03-21,1
Alessio Sakara,1429.3653443347912,2013-10-26,5
James Irvin,1453.6552293468878,2010-08-01,2
Mike Pierce,1561.0470777696164,2015-12-11,12
Julio Paulino,1452.0,2010-09-25,2
Eliot Marshall,1429.6552293468878,2011-10-29,3
Vladimir Matyushenko,1496.8173253490336,2013-01-26,6
Duane Ludwig,1448.681352751801,2012-09-29,6
Darren Elkins,1576.3808087315645,2025-04-12,30
John Howard,1450.2349421366218,2015-12-10,11
Daniel Roberts,1478.4849696568845,2012-01-20,7
Brendan Schaub,1524.8111084546542,2014-12-06,10
Chase Gormley,1476.0,2010-03-21,1
Clay Guida,1467.5962841628332,2024-12-07,27
Shannon Gugerty,1476.0,2010-03-21,1
Georges St-Pierre,1665.5870017713032,2017-11-04,7
Dan Hardy,1474.9079514158673,2012-09-29,6
Frank Mir,1470.2380805302719,2016-03-19,12
Shane Carwin,1477.7516675834,2011-06-11,3
Kurt Pellegrino,1474.4591089806581,2011-03-19,3
Fabricio Camoes,1438.3726492542112,2014-10-25,5
Ben Saunders,1432.0751235298285,2019-12-14,14
Jon Fitch,1524.9022547716668,2013-02-02,5
Jim Miller,1564.0725383859415,2025-04-12,39
Mark Bocek,1531.5091665372506,2014-04-16,7
Nate Diaz,1587.9761971432295,2022-09-10,18
Rory Markham,1476.0,2010-03-27,1
Ricardo Almeida,1501.6552293468878,2011-03-19,4
Matt Brown,1534.6353308077685,2023-05-13,25
Rousimar Palhares,1543.7876483973837,2013-10-09,8
Tomasz Drwal,1452.114338327546,2010-09-15,2
Rodney Wallace,1455.294786810416,2010-08-07,2
Jared Hamman,1448.1002614313898,2013-08-31,6
Matthew Riddle,1543.8910661968523,2012-11-17,6
Greg Soto,1477.8748486262657,2011-01-01,3
Kenny Florian,1500.2202375245586,2011-10-08,4
Takanori Gomi,1408.2499284525452,2017-09-22,13
Roy Nelson,1477.7811464849951,2017-04-15,18
Stefan Struve,1478.6436919111547,2020-10-24,20
Nate Quarry,1476.0,2010-03-31,1
Jorge Rivera,1498.1995086275476,2012-01-20,4
Ross Pearson,1435.4404299582122,2019-03-30,23
Dennis Siver,1550.3106455341172,2017-06-25,13
Andre Winner,1452.2207786104,2011-07-02,4
Rafaello Oliveira,1426.2386510805018,2014-02-22,6
Charlie Brenneman,1430.4652318923884,2014-11-08,11
Jason High,1488.7097067790678,2014-06-07,5
Rob Emerson,1476.0,2010-03-31,1
Nik Lentz,1540.3505810656502,2021-01-23,22
Caol Uno,1476.0,2010-03-31,1
Gleison Tibau,1511.0526128552037,2018-06-01,18
Yushin Okami,1529.653749579637,2018-12-01,12
Lucio Linhares,1476.0,2010-03-31,1
Gerald Harris,1519.1622407049676,2010-11-20,3
Mario Miranda,1450.352671244554,2011-03-26,4
Jacob Volkmann,1566.0333577490703,2013-02-02,8
Ronys Torres,1476.0,2010-03-31,1
Matt Hughes,1492.5192793168455,2011-09-24,4
Renzo Gracie,1476.0,2010-04-10,1
Anderson Silva,1502.6567902035838,2020-10-31,14
Demian Maia,1612.1304776238949,2021-06-12,26
BJ Penn,1369.5809321389709,2019-05-11,10
Frankie Edgar,1557.6948479682262,2022-11-12,22
Kendall Grove,1455.3021934950234,2011-05-28,4
Mark Munoz,1531.2586091379344,2015-05-16,12
Terry Etim,1456.1473323744433,2013-02-16,4
Rafael Dos Anjos,1585.1239179769434,2024-10-26,32
Nick Osipczak,1429.6552293468878,2010-11-13,3
Rick Story,1583.9837769198284,2016-08-20,16
DaMarques Johnson,1452.1603101273483,2012-09-29,8
Brad Blackburn,1476.0,2010-04-10,1
Paul Kelly,1498.3447706531122,2011-02-05,4
Matt Veach,1476.0,2010-04-10,1
Alexander Gustafsson,1524.2878608952847,2022-07-23,17
Phil Davis,1586.2836098101327,2015-01-24,11
Jon Madsen,1538.694228844815,2011-03-26,4
Mostapha Al-Turk,1476.0,2010-04-10,1
Josh Koscheck,1440.9644779066093,2015-03-21,9
Paul Daley,1476.0,2010-05-08,1
Lyoto Machida,1555.9761452180392,2018-05-12,16
Mauricio Rua,1488.2775087250627,2023-01-21,19
Sam Stout,1449.8661298873012,2015-08-23,12
Jeremy Stephens,1455.6780428158575,2025-05-03,26
Kevin Ferguson,1476.0,2010-05-08,1
Matt Mitrione,1545.5499153704807,2016-01-17,13
Patrick Cote,1518.5423044443228,2017-04-08,12
Alan Belcher,1522.5554815133796,2013-04-27,5
Marcus Davis,1476.0,2011-01-01,3
Jonathan Goulet,1476.0,2010-05-08,1
TJ Grant,1598.1753765820276,2013-05-25,8
Johny Hendricks,1535.3431426412012,2017-11-04,19
Joey Beltran,1414.0266671885802,2013-10-09,8
Tim Hague,1456.9035884723864,2011-01-22,2
Yoshiyuki Yoshida,1476.0,2010-05-08,1
Mike Guymon,1474.5650777910737,2011-01-22,3
Jason MacDonald,1455.202874864973,2012-05-15,4
John Salter,1496.705213189584,2010-08-28,2
Tom Lawlor,1512.3556978788833,2016-03-05,8
Joe Doerksen,1474.6866825214781,2010-12-11,3
Rogerio Nogueira,1479.0027934216228,2020-07-25,12
Rampage Jackson,1492.338950499092,2015-04-25,7
Rashad Evans,1468.0468222265374,2018-06-09,12
Michael Bisping,1606.8507685665563,2017-11-25,18
Dan Miller,1454.0071496550393,2015-07-12,8
Todd Duffee,1499.8832148505521,2015-07-15,4
Mike Russow,1515.7961291009356,2013-01-26,5
Diego Sanchez,1517.3381108183419,2020-09-26,19
John Hathaway,1546.2927473241211,2014-03-01,6
Jesse Forbes,1476.0,2010-05-29,1
Ryan Jensen,1474.3447706531122,2011-04-30,3
