fighter,opponent,date,elo_before,elo_after,result,elo_trend
 Jun Yong Park,Marc-Andre Barriault,2019-12-21,1500.0,1520.9004330781875,1.0,
AJ Cunningham,Ludovit Klein,2024-03-02,1500.0,1479.704805817854,0.0,
AJ Cunningham,SuYoung You,2025-03-15,1479.704805817854,1458.7481383309014,0.0,
AJ Dobson,Jacob Malkoun,2022-02-12,1500.0,1476.17552887026,0.0,
AJ Dobson,Armen Petrosyan,2022-10-22,1476.17552887026,1454.0210158155373,0.0,
AJ Dobson,Tafon Nchukwi,2023-08-12,1454.0210158155373,1479.147217895222,1.0,
AJ Dobson,Edmen Shahbazyan,2024-03-23,1479.147217895222,1457.8966898714411,0.0,-20.852782104778044
AJ Fletcher,Matthew Semelsberger,2022-03-12,1500.0,1478.8824395447361,0.0,
AJ Fletcher,Ange Loosa,2022-08-20,1478.8824395447361,1454.7160985893097,0.0,
AJ Fletcher,Themba Gorimbo,2023-02-18,1454.7160985893097,1481.8266059576408,1.0,
AJ Fletcher,Bryan Battle,2023-09-23,1481.8266059576408,1463.1813166364232,0.0,-18.173394042359178
Aalon Cruz,Spike Carlyle,2020-02-29,1500.0,1476.0,0.0,
Aalon Cruz,Uros Medic,2021-03-06,1476.0,1453.6552293468878,0.0,
Aaron Phillips,Sam Sicilia,2014-05-24,1500.0,1474.2464321815764,0.0,
Aaron Phillips,Matt Hobar,2014-08-23,1474.2464321815764,1450.2846604644953,0.0,
Aaron Phillips,Jack Shore,2020-07-15,1450.2846604644953,1431.2143784215732,0.0,
Aaron Phillips,Gaston Bolanos,2023-04-15,1431.2143784215732,1411.9047977732694,0.0,-68.7856215784268
Aaron Pico,Lerone Murphy,2025-08-16,1500.0,1487.5911722423907,0.0,
Aaron Riley,Joe Brammer,2010-05-29,1500.0,1524.0,1.0,
Aaron Riley,Tony Ferguson,2011-09-24,1524.0,1500.0,0.0,
Aaron Riley,Justin Salas,2013-07-27,1500.0,1476.0,0.0,
Aaron Rosa,Joey Beltran,2011-06-11,1500.0,1474.2310135609343,0.0,
Aaron Rosa,Matt Lucas,2011-11-12,1474.2310135609343,1500.0078151811017,1.0,
Aaron Rosa,James Te Huna,2012-03-02,1500.0078151811017,1476.1367967278777,0.0,
Aaron Simpson,Chris Leben,2010-06-19,1500.0,1476.0,0.0,
Aaron Simpson,Mark Munoz,2010-11-20,1476.0,1453.6552293468878,0.0,
Aaron Simpson,Mario Miranda,2011-03-26,1453.6552293468878,1479.188801010156,1.0,
Aaron Simpson,Brad Tavares,2011-07-02,1479.188801010156,1507.7708490921164,1.0,-20.811198989843888
Aaron Simpson,Eric Schafer,2011-10-08,1507.7708490921164,1529.5822934073558,1.0,31.77084909211635
Aaron Simpson,Ronny Markes,2012-02-15,1529.5822934073558,1505.2040661910182,0.0,75.92706406046796
Aaron Simpson,Kenny Robertson,2012-07-11,1505.2040661910182,1527.4099156030693,1.0,26.015265180862116
Aaron Simpson,Mike Pierce,2012-10-05,1527.4099156030693,1505.3987082740546,0.0,19.639066510952944
Aaron Wilkinson,Cody McKenzie,2010-12-04,1500.0,1476.0,0.0,
Abdul Rakhman Yakhyaev,Rafael Cerqueira,2025-11-22,1500.0,1519.446563991786,1.0,
Abdul Razak Alhassan,Charlie Ward,2016-11-19,1500.0,1524.0,1.0,
Abdul Razak Alhassan,Omari Akhmedov,2017-05-28,1524.0,1500.022081998828,0.0,
Abdul Razak Alhassan,Sabah Homasi,2017-12-02,1500.022081998828,1522.6653613420156,1.0,
Abdul Razak Alhassan,Sabah Homasi,2018-01-20,1522.6653613420156,1542.2304473221573,1.0,22.665361342015558
Abdul Razak Alhassan,Niko Price,2018-09-08,1542.2304473221573,1568.31042278613,1.0,18.23044732215726
Abdul Razak Alhassan,Mounir Lazzez,2020-07-15,1568.31042278613,1539.6515836695305,0.0,68.28834078730188
Abdul Razak Alhassan,Khaos Williams,2020-11-14,1539.6515836695305,1512.9243795049722,0.0,16.98622232751495
Abdul Razak Alhassan,Jacob Malkoun,2021-04-17,1512.9243795049722,1486.3832935375967,0.0,-29.306067817185067
Abdul Razak Alhassan,Alessio Di Chirico,2021-08-28,1486.3832935375967,1510.555434204801,1.0,-81.92712924853322
Abdul Razak Alhassan,Joaquin Buckley,2022-02-19,1510.555434204801,1487.4214282081978,0.0,-29.09614946472948
Abdul Razak Alhassan,Claudio Ribeiro,2023-01-14,1487.4214282081978,1512.289945733604,1.0,-25.502951296774427
Abdul Razak Alhassan,Joe Pyfer,2023-10-07,1512.289945733604,1490.6237809216332,0.0,25.90665219600737
Abdul Razak Alhassan,Cesar Almeida,2025-01-11,1490.6237809216332,1468.8276805240973,0.0,-19.93165328316786
Abdul-Kareem Al-Selwady,Loik Radzhabov,2024-03-02,1500.0,1476.0,0.0,
Abdul-Kareem Al-Selwady,Shem Rock,2026-03-21,1476.0,1500.2306236897598,1.0,
Abdul-Kerim Edilov,Bojan Mihajlovic,2017-09-02,1500.0,1520.9145459285007,1.0,
Abel Trujillo,Marcus LeVesseur,2012-12-08,1500.0,1524.0016514038393,1.0,
Abel Trujillo,Khabib Nurmagomedov,2013-05-25,1524.0016514038393,1503.3941769532623,0.0,
Abel Trujillo,Roger Bowling,2013-12-14,1503.3941769532623,1525.4264395418354,1.0,
Abel Trujillo,Jamie Varner,2014-02-01,1525.4264395418354,1548.3291290415784,1.0,25.426439541835407
Abel Trujillo,Tony Ferguson,2014-12-06,1548.3291290415784,1528.4658739572224,0.0,24.327477637739094
Abel Trujillo,Gleison Tibau,2015-11-07,1528.4658739572224,1556.7197673105377,1.0,25.071697003960026
Abel Trujillo,Tony Sims,2016-01-02,1556.7197673105377,1576.8356155883848,1.0,31.293327768702284
Abel Trujillo,Jordan Rinaldi,2016-05-29,1576.8356155883848,1595.6128670421563,1.0,28.5064865468064
Abel Trujillo,James Vick,2017-02-04,1595.6128670421563,1570.9945374714225,0.0,67.14699308493391
Abel Trujillo,John Makdessi,2017-12-16,1570.9945374714225,1543.0410846727905,0.0,14.274770160884827
Abner Lloveras,Chris Gruetzemacher,2015-12-11,1500.0,1476.0,0.0,
Abu Azaitar,Vitor Miranda,2018-07-22,1500.0,1524.0118681259985,1.0,
Abu Azaitar,Marc-Andre Barriault,2021-03-27,1524.0118681259985,1495.677503810155,0.0,
Abu Azaitar,Sedriques Dumas,2023-10-21,1495.677503810155,1471.7688285659856,0.0,
Abubakar Nurmagomedov,David Zawada,2019-11-09,1500.0,1473.2739700060279,0.0,
Abubakar Nurmagomedov,Jared Gooden,2021-03-27,1473.2739700060279,1497.6172840175423,1.0,
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,2022-10-22,1497.6172840175423,1520.1259389105587,1.0,
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,2023-06-03,1520.1259389105587,1503.132776027032,0.0,20.125938910558716
Abus Magomedov,Dustin Stoltzfus,2022-09-03,1500.0,1521.4814236342622,1.0,
Abus Magomedov,Sean Strickland,2023-07-01,1521.4814236342622,1506.004440080958,0.0,
Abus Magomedov,Caio Borralho,2023-11-04,1506.004440080958,1488.0343937086927,0.0,
Abus Magomedov,Warlley Alves,2024-05-18,1488.0343937086927,1513.025502284972,1.0,-11.965606291307267
Abus Magomedov,Brunno Ferreira,2024-10-26,1513.025502284972,1539.3177972463734,1.0,-8.455921349290293
Abus Magomedov,Michel Pereira,2025-04-26,1539.3177972463734,1569.4467010448468,1.0,33.31335716541548
Abus Magomedov,Joe Pyfer,2025-10-04,1569.4467010448468,1547.0587125506395,0.0,81.41230733615407
Adam Cella,Tor Troeng,2013-04-06,1500.0,1476.0,0.0,
Adam Fugitt,Michael Morales,2022-07-30,1500.0,1477.8836511442532,0.0,
Adam Fugitt,Yusaku Kinoshita,2023-02-04,1477.8836511442532,1503.4093342251429,1.0,
Adam Fugitt,Mike Malott,2023-06-10,1503.4093342251429,1482.4717880757742,0.0,
Adam Fugitt,Josh Quinlan,2024-06-15,1482.4717880757742,1505.8487633163018,1.0,-17.528211924225843
Adam Fugitt,Islam Dulatov,2025-07-19,1505.8487633163018,1481.4447832197088,0.0,27.96511217204852
Adam Fugitt,Ty Miller,2026-01-24,1481.4447832197088,1458.7253149638043,0.0,-21.964551005434032
Adam Milstead,Chris de la Rocha,2016-05-29,1500.0,1522.2233329391975,1.0,
Adam Milstead,Jordan Johnson,2018-03-03,1522.2233329391975,1500.08533906181,0.0,
Adam Milstead,Mike Rodriguez,2018-12-15,1500.08533906181,1474.4116553492654,0.0,
Adam Wieczorek,Anthony Hamilton,2017-11-18,1500.0,1519.5887889458277,1.0,
Adam Wieczorek,Arjan Bhullar,2018-04-14,1519.5887889458277,1543.892560603531,1.0,
Adam Wieczorek,Marcos Rogerio de Lima,2018-11-03,1543.892560603531,1517.9407065974128,0.0,
Adam Yandiev,Jordan Johnson,2018-09-15,1500.0,1480.861930898959,0.0,
Adlan Amagov,Chris Spang,2013-04-06,1500.0,1524.0,1.0,
Adlan Amagov,TJ Waldburger,2013-10-19,1524.0,1549.6827975219924,1.0,
Adrian Yanez,Victor Rodriguez,2020-10-31,1500.0,1524.0,1.0,
Adrian Yanez,Gustavo Lopez,2021-03-20,1524.0,1546.6163070604148,1.0,
Adrian Yanez,Randy Costa,2021-07-24,1546.6163070604148,1568.9092983688683,1.0,
Adrian Yanez,Davey Grant,2021-11-20,1568.9092983688683,1589.0137430064271,1.0,68.90929836886835
Adrian Yanez,Tony Kelley,2022-06-18,1589.0137430064271,1610.0789932207388,1.0,65.01374300642715
Adrian Yanez,Rob Font,2023-04-08,1610.0789932207388,1585.3349886430549,0.0,63.46268616032398
Adrian Yanez,Jonathan Martinez,2023-10-14,1585.3349886430549,1564.9944637591723,0.0,16.425690274186536
Adrian Yanez,Vinicius Salvador,2024-05-18,1564.9944637591723,1581.5439142763823,1.0,-24.01927924725487
Adrian Yanez,Daniel Marcos,2024-12-14,1581.5439142763823,1556.9211233519122,0.0,-28.535078944356428
Adrian Yanez,Ricky Simon,2026-03-28,1556.9211233519122,1558.6762614397019,0.5,-28.413865291142656
Adriano Martins,Daron Cruickshank,2013-11-09,1500.0,1527.0262971512097,1.0,
