ufcstats_name,canonical_name,match_type,match_score,manual_override
AJ Cunningham,AJ Cunningham,exact,100.0,
AJ Dobson,AJ Dobson,exact,100.0,
AJ Fletcher,AJ Fletcher,exact,100.0,
Aalon Cruz,Aalon Cruz,exact,100.0,
Aaron Brink,,unmatched,66.66666666666667,
Aaron Phillips,Aaron Phillips,exact,100.0,
Aaron Pico,Aaron Pico,exact,100.0,
Aaron Riley,Aaron Riley,exact,100.0,
Aaron Rosa,Aaron Rosa,exact,100.0,
Aaron Simpson,Aaron Simpson,exact,100.0,
Aaron Wilkinson,Aaron Wilkinson,exact,100.0,
Abdul Hussein,,unmatched,55.172413793103445,
Abdul Rakhman Yakhyaev,Abdul Rakhman Yakhyaev,exact,100.0,
Abdul Razak Alhassan,Abdul Razak Alhassan,exact,100.0,
Abdul-Kareem Al-Selwady,Abdul-Kareem Al-Selwady,exact,100.0,
Abdul-Kerim Edilov,Abdul-Kerim Edilov,exact,100.0,
Abel Trujillo,Abel Trujillo,exact,100.0,
Abner Lloveras,Abner Lloveras,exact,100.0,
Abu Azaitar,Abu Azaitar,exact,100.0,
Abubakar Nurmagomedov,Abubakar Nurmagomedov,exact,100.0,
Abubakar Vagaev,,unmatched,72.22222222222221,
Abus Magomedov,Abus Magomedov,exact,100.0,
Adam Cella,Adam Cella,exact,100.0,
Adam Fugitt,Adam Fugitt,exact,100.0,
Adam Milstead,Adam Milstead,exact,100.0,
Adam Wieczorek,Adam Wieczorek,exact,100.0,
Adam Yandiev,Adam Yandiev,exact,100.0,
Adlan Amagov,Adlan Amagov,exact,100.0,
Adrian Luna Martinetti,Juan Adrian Luna Martinetti,manual,100.0,Juan Adrian Luna Martinetti
Adrian Serrano,,unmatched,69.23076923076923,
Adrian Yanez,Adrian Yanez,exact,100.0,
Adriano Martins,Adriano Martins,exact,100.0,
Adriano Santos,,unmatched,76.92307692307692,
Aiemann Zahabi,Aiemann Zahabi,exact,100.0,
Ailin Perez,Ailin Perez,exact,100.0,
Aisling Daly,Aisling Daly,exact,100.0,
Akbarh Arreola,Akbarh Arreola,exact,100.0,
Akihiro Gono,,unmatched,51.85185185185186,
Akira Corassani,Akira Corassani,exact,100.0,
Al Iaquinta,Al Iaquinta,exact,100.0,
Alan Baudot,Alan Baudot,exact,100.0,
Alan Belcher,Alan Belcher,exact,100.0,
Alan Jouban,Alan Jouban,exact,100.0,
Alan Omer,Alan Omer,exact,100.0,
Alan Patrick,Alan Patrick,exact,100.0,
Alatengheili,Alatengheili,exact,100.0,
Albert Cheng,Albert Cheng,exact,100.0,
Albert Duraev,Albert Duraev,exact,100.0,
Albert Morales,Albert Morales,exact,100.0,
Albert Tumenov,Albert Tumenov,exact,100.0,
Alberta Cerra Leon,,unmatched,66.66666666666667,
Alberto Crane,,unmatched,76.92307692307692,
Alberto Mina,Alberto Mina,exact,100.0,
Alberto Montes,Alberto Montes,exact,100.0,
Alberto Uda,Alberto Uda,exact,100.0,
Alden Coria,Alden Coria,exact,100.0,
Alejandro Perez,Alejandro Perez,exact,100.0,
Aleksa Camur,Aleksa Camur,exact,100.0,
Aleksandar Rakic,Aleksandar Rakic,exact,100.0,
Aleksandra Albu,Alexandra Albu,manual,100.0,Alexandra Albu
Aleksandre Topuria,Aleksandre Topuria,exact,100.0,
Aleksei Kunchenko,Aleksei Kunchenko,exact,100.0,
Aleksei Oleinik,Aleksei Oleinik,exact,100.0,
Alen Amedovski,Alen Amedovski,exact,100.0,
Alessandro Costa,Alessandro Costa,exact,100.0,
Alessio Di Chirico,Alessio Di Chirico,exact,100.0,
Alessio Sakara,Alessio Sakara,exact,100.0,
Alex Andrade,,unmatched,64.51612903225806,
Alex Caceres,Alex Caceres,exact,100.0,
Alex Chambers,Alex Chambers,exact,100.0,
Alex Da Silva,Alex Da Silva,exact,100.0,
Alex Garcia,Alex Garcia,exact,100.0,
Alex Gorgees,Alex Gorgees,exact,100.0,
Alex Hunter,,unmatched,78.26086956521739,
Alex Karalexis,,unmatched,69.23076923076923,
Alex Morono,Alex Morono,exact,100.0,
Alex Nicholson,Alex Nicholson,exact,100.0,
Alex Oliveira,Alex Oliveira,exact,100.0,
Alex Pereira,Alex Pereira,exact,100.0,
Alex Perez,Alex Perez,exact,100.0,
Alex Reyes,Alex Reyes,exact,100.0,
Alex Ricci,,unmatched,70.0,
Alex Schoenauer,,unmatched,64.28571428571428,
Alex Soto,Alex Soto,exact,100.0,
Alex Stiebling,,unmatched,64.51612903225806,
Alex Torres,Alex Torres,exact,100.0,
Alex White,Alex White,exact,100.0,
Alexa Grasso,Alexa Grasso,exact,100.0,
Alexander Gustafsson,Alexander Gustafsson,exact,100.0,
Alexander Hernandez,Alexander Hernandez,exact,100.0,
Alexander Munoz,Alexander Munoz,exact,100.0,
Alexander Volkanovski,Alexander Volkanovski,exact,100.0,
Alexander Volkov,Alexander Volkov,exact,100.0,
Alexander Yakovlev,Alexander Yakovlev,exact,100.0,
Alexandr Romanov,Alexandr Romanov,exact,100.0,
Alexandre Barros,,unmatched,72.72727272727273,
Alexandre Dantas,,unmatched,84.84848484848484,
Alexandre Ferreira,Alexandre Ferreira,exact,100.0,
Alexandre Pantoja,Alexandre Pantoja,exact,100.0,
Alexia Thainara,Alexia Thainara,exact,100.0,
Alexis Davis,Alexis Davis,exact,100.0,
Alexis Dufresne,Alexis Dufresne,exact,100.0,
Alfonso Alcarez,,unmatched,59.25925925925925,
Ali AlQaisi,Ali AlQaisi,exact,100.0,
Ali Bagautinov,Ali Bagautinov,exact,100.0,
Aliaskhab Khizriev,Aliaskhab Khizriev,exact,100.0,
Alibi Idiris,Alibi Idiris,exact,100.0,
Alice Ardelean,Alice Ardelean,exact,100.0,
Alice Pereira,Alice Pereira,exact,100.0,
Alistair Overeem,Alistair Overeem,exact,100.0,
Aljamain Sterling,Aljamain Sterling,exact,100.0,
Allan Goes,,unmatched,70.0,
Allan Nascimento,Allan Nascimento,exact,100.0,
Allan Zuniga,Allan Zuniga,exact,100.0,
Allen Berube,,unmatched,72.0,
Allen Crowder,Allen Crowder,exact,100.0,
Allen Frye Jr.,Allen Frye Jr.,exact,100.0,
Alonzo Menifield,Alonzo Menifield,exact,100.0,
Alptekin Ozkilic,Alptekin Ozkilic,exact,100.0,
Alvaro Herrera Mendoza,,unmatched,77.77777777777779,
Alvin Hines,Alvin Hines,exact,100.0,
Alvin Robinson,,unmatched,72.0,
Amanda Cooper,Amanda Cooper,exact,100.0,
Amanda Lemos,Amanda Lemos,exact,100.0,
Amanda Nunes,Amanda Nunes,exact,100.0,
Amanda Ribas,Amanda Ribas,exact,100.0,
Amar Suloev,,unmatched,58.33333333333333,
Amaury Bitetti,,unmatched,50.0,
Amilcar Alves,Amilcar Alves,exact,100.0,
Amir Albazi,Amir Albazi,exact,100.0,
Amir Sadollah,Amir Sadollah,exact,100.0,
Anderson Dos Santos,Anderson Dos Santos,exact,100.0,
Anderson Silva,Anderson Silva,exact,100.0,
Andre Ewell,Andre Ewell,exact,100.0,
Andre Fialho,Andre Fialho,exact,100.0,
Andre Fili,Andre Fili,exact,100.0,
Andre Gusmao,,unmatched,73.33333333333334,
Andre Lima,Andre Lima,exact,100.0,
Andre Muniz,Andre Muniz,exact,100.0,
Andre Pederneiras,,unmatched,68.96551724137932,
Andre Petroski,Andre Petroski,exact,100.0,
Andre Roberts,,unmatched,74.07407407407408,
Andre Soukhamthath,Andre Soukhamthath,exact,100.0,
Andre Winner,Andre Winner,exact,100.0,
Andrea Lee,Andrea Lee,exact,100.0,
Andreas Gustafsson,Andreas Gustafsson,exact,100.0,
Andreas Michailidis,Andreas Michailidis,exact,100.0,
Andreas Stahl,Andreas Stahl,exact,100.0,
Andrei Arlovski,Andrei Arlovski,exact,100.0,
Andrei Semenov,,unmatched,66.66666666666667,
