fighter,height_cm,reach_cm,stance,dob,wins,losses,draws,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
AJ Cunningham,177.8,180.3,Orthodox,"Sep 07, 1994",11,5,0,4.22,0.29,6.31,0.48,0.0,0.0,0.46,0.5
AJ Dobson,185.4,193.0,Orthodox,"Jan 18, 1992",7,3,0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3
AJ Fletcher,177.8,170.2,Switch,"Feb 18, 1997",10,3,0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9
Aaron Phillips,175.3,180.3,Southpaw,"Aug 05, 1989",12,5,0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6
Aaron Pico,172.7,177.8,Orthodox,"Sep 23, 1996",14,5,0,6.16,0.53,3.11,0.45,6.54,0.5,0.0,0.0
Abdul Rakhman Yakhyaev,188.0,198.1,Orthodox,"Mar 01, 2001",9,0,0,7.4,0.67,2.3,0.57,11.49,0.75,1.0,7.7
Abdul Razak Alhassan,177.8,185.4,Orthodox,"Aug 11, 1985",12,7,0,3.64,0.49,4.01,0.54,0.84,0.33,0.51,0.2
Abdul-Kareem Al-Selwady,172.7,175.3,Orthodox,"Apr 10, 1995",16,4,0,4.61,0.41,3.43,0.6,1.47,0.23,0.54,0.0
Abu Azaitar,175.3,193.0,Orthodox,"Mar 10, 1986",14,4,1,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0
Abubakar Nurmagomedov,180.3,182.9,Orthodox,"Nov 13, 1989",17,4,1,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0
Abus Magomedov,188.0,198.1,Orthodox,"Sep 02, 1990",28,7,1,3.07,0.49,3.43,0.55,2.61,0.59,1.0,0.4
Adam Fugitt,185.4,195.6,Southpaw,"Jan 12, 1989",10,6,0,4.88,0.46,5.33,0.51,1.63,0.22,0.5,0.0
Adrian Yanez,170.2,177.8,Orthodox,"Nov 29, 1993",17,6,1,5.96,0.41,5.24,0.56,0.0,0.0,0.75,0.0
Aiemann Zahabi,172.7,172.7,Orthodox,"Nov 19, 1987",14,2,0,4.54,0.47,4.08,0.69,0.12,0.14,0.83,0.0
