fighter,opponent,date,result,method,event,round,time
AJ Cunningham,SuYoung You,2025-03-15,loss,U-DEC,UFC Fight Night: Vettori vs. Dolidze 2,3,5:00
AJ Cunningham,Ludovit Klein,2024-03-02,loss,KO/TKO Kick,UFC Fight Night: Rozenstruik vs. Gaziev,1,4:36
AJ Cunningham,Steven Nguyen,2023-09-12,loss,KO/TKO Punches,DWCS 7.6,2,4:06
AJ Dobson,Edmen Shahbazyan,2024-03-23,loss,KO/TKO Punches,UFC Fight Night: Ribas vs. Namajunas,1,4:33
AJ Dobson,Tafon Nchukwi,2023-08-12,win,U-DEC,UFC Fight Night: Luque vs. Dos Anjos,3,5:00
AJ Dobson,Armen Petrosyan,2022-10-22,loss,U-DEC,UFC 280: Oliveira vs. Makhachev,3,5:00
AJ Dobson,Jacob Malkoun,2022-02-12,loss,U-DEC,UFC 271: Adesanya vs. Whittaker 2,3,5:00
AJ Dobson,Hashem Arkhagha,2021-09-21,win,SUB Rear Naked Choke,DWCS 5.4,1,4:21
AJ Fletcher,Bryan Battle,2023-09-23,loss,SUB Rear Naked Choke,UFC Fight Night: Fiziev vs. Gamrot,2,4:32
AJ Fletcher,Themba Gorimbo,2023-02-18,win,SUB Guillotine Choke,UFC Fight Night: Andrade vs. Blanchfield,2,1:37
AJ Fletcher,Ange Loosa,2022-08-20,loss,U-DEC,UFC 278: Usman vs. Edwards,3,5:00
AJ Fletcher,Matthew Semelsberger,2022-03-12,loss,U-DEC,UFC Fight Night: Santos vs. Ankalaev,3,5:00
AJ Fletcher,Leonardo Damiani,2021-08-31,win,KO/TKO Flying Knee,DWCS 5.1,1,2:24
Aaron Phillips,Gaston Bolanos,2023-04-15,loss,U-DEC,UFC Fight Night: Holloway vs. Allen,3,5:00
Aaron Phillips,Jack Shore,2020-07-15,loss,SUB Rear Naked Choke,UFC Fight Night: Kattar vs. Ige,2,2:29
Aaron Phillips,Matt Hobar,2014-08-23,loss,U-DEC,UFC Fight Night: Henderson vs Dos Anjos,3,5:00
Aaron Phillips,Sam Sicilia,2014-05-24,loss,U-DEC,UFC 173: Barao vs Dillashaw,3,5:00
Aaron Pico,Patricio Pitbull,2026-04-11,win,U-DEC,UFC 327: Prochazka vs. Ulberg,3,5:00
Aaron Pico,Lerone Murphy,2025-08-16,loss,KO/TKO Spinning Back Elbow,UFC 319: Du Plessis vs. Chimaev,1,3:21
Abdul Rakhman Yakhyaev,Brendson Ribeiro,2026-04-04,win,SUB Rear Naked Choke,UFC Fight Night: Moicano vs. Duncan,1,2:52
Abdul Rakhman Yakhyaev,Rafael Cerqueira,2025-11-22,win,SUB Rear Naked Choke,UFC Fight Night: Tsarukyan vs. Hooker,1,0:33
Abdul Rakhman Yakhyaev,Alik Lorenz,2025-08-26,win,KO/TKO Punches,DWCS 9.3,1,0:30
Abdul Razak Alhassan,Cesar Almeida,2025-01-11,loss,KO/TKO Punch,UFC Fight Night: Dern vs. Ribas 2,1,4:16
Abdul Razak Alhassan,Cody Brundage,2024-07-13,no contest,CNC,UFC Fight Night: Namajunas vs. Cortez,1,0:37
