R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,R_recent_won,R_recent_avg_SIG_STR_landed,R_recent_avg_SIG_STR_pct,R_recent_avg_TD_landed,R_recent_avg_TD_pct,R_recent_avg_SUB_ATT,B_recent_won,B_recent_avg_SIG_STR_landed,B_recent_avg_SIG_STR_pct,B_recent_avg_TD_landed,B_recent_avg_TD_pct,B_recent_avg_SUB_ATT,recent_won_dif,recent_sig_str_dif,recent_td_dif,R_avg_KD,R_avg_Ctrl_Sec,B_avg_KD,B_avg_Ctrl_Sec,avg_KD_dif,avg_Ctrl_Sec_dif,target,R_finish_rate,B_finish_rate,finish_rate_dif,B_upset_potential,R_finish_vulnerability,R_wrestling_score,B_wrestling_score,wrestling_score_dif
Israel Adesanya,Joe Pyfer,-130.0,102.0,76.9231,102.0,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Middleweight,MALE,5,0,3,0,3.52,0.44,0.9,1.45,0.3,4,2,18,0,0,0,1,4,2,0,7,Orthodox,187.96,190.5,185,3,0,0,4.03,0.48,0.1,0.05,0.09,9,5,66,12,0,1,7,5,0,0,13,Switch,193.04,203.2,185,36,29,-3,3,-5,-6,-3,-48,-12,-1,2,-5.08,-12.7,-7,-0.51,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2.0,4:18,558.0,163.0,900.0,2500.0,400.0,300.0,250.0,0.0,4.010000000000001,0.48,0.05,0.10999999999999999,0.1,1.0,3.5866666666666664,0.43,1.45,0.33666666666666667,0.9,-1.0,0.4233333333333342,-1.4,,,,,,,0,0.35714285714285715,0.75,-0.39285714285714285,0.75,0.07462686567164178,0.10450000000000001,1.335,-1.2305
Alexa Grasso,Maycee Barber,124.0,-158.0,124.0,63.2911,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,7,0,4.56,0.53,0.1,1.56,0.45,7,2,34,0,0,2,4,5,0,0,11,Switch,165.1,165.1,125,2,0,1,4.11,0.41,0.7,0.4,0.35,5,5,45,3,0,1,5,0,2,0,8,Orthodox,165.1,167.64,125,32,27,-2,7,2,3,-3,-11,-3,5,-2,0.0,-2.54,-5,0.45,-0.6,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,1.0,2:42,162.0,175.0,105.0,1400.0,800.0,2500.0,500.0,0.3333333333333333,4.323333333333333,0.4166666666666667,0.4166666666666667,0.4000000000000001,0.6666666666666666,1.0,4.653333333333333,0.53,1.4799999999999998,0.4366666666666667,0.1,-0.6666666666666667,-0.33000000000000007,-1.063333333333333,,,,,,,1,0.2222222222222222,0.4166666666666667,-0.19444444444444448,0.4166666666666667,0.10869565217391304,0.84,0.802,0.03799999999999992
Michael Chiesa,Niko Price,-901.0,550.0,11.0988,550.0,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Welterweight,MALE,3,3,0,0,5.11,0.43,0.6,1.06,0.3,2,10,40,0,0,0,2,4,2,0,8,Orthodox,182.88,193.04,170,0,3,0,2.02,0.4,1.0,3.11,0.47,4,7,47,1,0,0,6,0,8,0,14,Southpaw,185.42,190.5,170,38,36,3,-3,-2,-6,3,-7,-1,4,-6,-2.54,2.54,-2,3.09,-0.4,-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,1:03,63.0,225.0,900.0,-150.0,1600.0,600.0,1000.0,1.0,1.9133333333333322,0.4,3.27,0.49666666666666665,1.0,0.0,5.1433333333333335,0.4266666666666667,1.0533333333333335,0.2966666666666667,0.6333333333333333,1.0,-3.2300000000000013,2.216666666666667,,,,,,,1,0.5333333333333333,0.6666666666666666,-0.1333333333333333,0.6666666666666666,0.14583333333333334,2.4616999999999996,0.9179999999999999,1.5436999999999996
Terrance McKinney,Kyle Nelson,-150.0,118.0,66.6667,118.0,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Lightweight,MALE,3,0,1,1,3.6,0.45,0.5,1.18,0.23,3,5,26,0,0,0,3,2,0,0,5,Switch,180.34,180.34,155,1,0,0,6.53,0.55,2.1,3.31,0.4,2,6,16,0,0,0,0,4,3,0,7,Switch,177.8,185.42,155,31,34,-1,1,1,-2,-1,10,0,-2,-3,2.54,-5.08,3,-2.93,-1.6,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,0:24,24.0,1400.0,900.0,225.0,700.0,175.0,250.0,0.6666666666666666,6.53,0.55,3.31,0.4,2.1,0.6666666666666666,3.5866666666666664,0.45,1.1133333333333333,0.21,0.5666666666666665,0.0,2.943333333333334,2.1966666666666668,,,,,,,1,0.875,0.3333333333333333,0.5416666666666667,0.3333333333333333,0.35294117647058826,3.4240000000000004,0.7714,2.6526000000000005
Casey O'Neill,Gabriella Fernandes,-113.0,-113.0,88.4956,88.4956,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,3,0,3.51,0.46,0.2,0.42,0.18,3,2,14,0,0,1,1,0,1,0,3,Southpaw,167.64,167.64,125,0,1,0,7.89,0.52,0.7,1.4,0.34,4,2,18,0,0,1,1,2,1,0,5,Orthodox,167.64,175.26,125,28,32,0,2,-1,-2,0,-4,0,-2,0,0.0,-7.62,4,-4.38,-0.5,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,3:11,191.0,175.0,150.0,2000.0,4000.0,2000.0,2000.0,0.3333333333333333,7.89,0.52,1.45,0.34,0.7,1.0,3.5666666666666664,0.47000000000000003,0.55,0.19333333333333333,0.16666666666666666,-0.6666666666666667,4.323333333333333,0.8999999999999999,,,,,,,1,0.5,0.25,0.25,0.25,0.10526315789473684,1.176,0.2756,0.9003999999999999
Navajo Stirling,Bruno Lopes,-440.0,310.0,22.7273,310.0,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,2.88,0.43,0.0,1.93,0.21,2,2,7,0,0,0,1,1,0,0,2,Orthodox,187.96,187.96,205,0,4,0,6.25,0.52,0.0,0.98,0.28,4,0,11,0,0,0,3,1,0,0,4,Orthodox,193.04,200.66,205,28,32,1,-4,-2,-2,2,-4,0,0,0,-5.08,-12.7,4,-3.37,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2.0,4:05,545.0,300.0,600.0,3500.0,6000.0,550.0,4500.0,1.0,6.523333333333333,0.5733333333333334,0.6533333333333333,0.18666666666666668,0.0,0.5,2.88,0.43,1.93,0.21,0.0,0.5,3.6433333333333335,-1.2766666666666666,,,,,,,1,0.2,0.3333333333333333,-0.1333333333333333,0.3333333333333333,0.0,0.27440000000000003,0.4053,-0.13089999999999996
Alexia Thainara,Bruna Brasil,-480.0,330.0,20.8333,330.0,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,2.56,0.57,0.1,1.23,0.52,1,4,22,0,0,0,3,1,0,0,4,Orthodox,167.64,165.1,115,0,3,0,4.62,0.43,1.8,4.54,0.57,3,0,7,0,0,0,2,0,1,0,3,Orthodox,162.56,170.18,115,30,32,1,-3,-2,1,4,15,0,1,-1,5.08,-5.08,2,-2.06,-1.7,-3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,-120.0,600.0,1100.0,7500.0,3500.0,4500.0,1.0,4.62,0.43,4.54,0.57,1.8,0.3333333333333333,2.686666666666667,0.5833333333333334,1.4633333333333336,0.5866666666666667,0.06666666666666667,0.6666666666666667,1.9333333333333331,3.076666666666666,,,,,,,1,0.25,0.2,0.04999999999999999,0.2,0.0,4.3877999999999995,0.7396,3.648199999999999
Movsar Evloev,Lerone Murphy,-250.0,198.0,40.0,198.0,2026-03-21,"London, England, United Kingdom",United Kingdom,Red,False,Featherweight,MALE,5,0,9,1,4.34,0.51,0.5,1.2,0.54,9,0,29,0,0,1,5,3,0,0,9,Orthodox,175.26,185.42,145,0,9,0,3.91,0.47,0.2,4.78,0.52,9,0,27,0,0,1,8,0,0,0,9,Orthodox,170.18,182.88,145,32,34,0,0,0,0,0,2,0,3,0,5.08,2.54,2,0.43,0.3,-3.58,,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,Red,M-DEC,,5.0,5:00,1500.0,-115.0,380.0,700.0,2200.0,800.0,650.0,1.0,4.43,0.48,4.75,0.46,0.2,1.0,4.493333333333333,0.52,1.3933333333333333,0.54,0.5333333333333333,0.0,-0.06333333333333346,3.3566666666666665,,,,,,,1,0.0,0.3,-0.3,0.3,0.0,2.6856000000000004,1.1480000000000001,1.5376000000000003
Michael Page,Sam Patterson,-178.0,144.0,56.1798,144.0,2026-03-21,"London, England, United Kingdom",United Kingdom,Red,False,Welterweight,MALE,3,0,4,0,2.62,0.37,1.6,0.82,0.5,4,1,7,0,0,0,0,2,3,0,5,Orthodox,190.5,198.12,170,0,2,0,2.28,0.58,0.0,0.19,0.16,2,1,12,0,0,0,3,0,0,0,3,Switch,190.5,200.66,170,38,29,0,2,2,2,0,-5,0,2,3,0.0,-2.54,-9,0.34,1.6,0.63,,,13.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,210.0,650.0,2200.0,440.0,210.0,600.0,0.6666666666666666,2.313333333333333,0.6033333333333334,0.2733333333333334,0.19000000000000003,0.0,1.0,2.6333333333333333,0.37,1.1933333333333334,0.6666666666666666,2.3666666666666667,-0.33333333333333337,-0.3200000000000003,-0.9199999999999999,,,,,,,1,0.0,0.8333333333333334,-0.8333333333333334,0.8333333333333334,0.07692307692307693,0.0304,2.0100000000000002,-1.9796000000000002
Roman Dolidze,Christian Leroy Duncan,340.0,-470.0,340.0,21.2766,2026-03-21,"London, England, United Kingdom",United Kingdom,Blue,False,Middleweight,MALE,3,0,3,0,4.43,0.57,0.0,0.33,0.16,3,2,17,0,0,0,1,5,0,0,6,Switch,187.96,200.66,185,1,0,0,3.19,0.41,0.7,1.16,0.43,4,4,35,0,0,1,3,5,0,0,9,Orthodox,187.96,193.04,185,37,30,-1,3,-1,-3,-2,-18,0,0,0,0.0,7.62,-7,1.24,-0.7,-0.83,,,11.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,850.0,155.0,1000.0,1700.0,1100.0,135.0,0.6666666666666666,3.1799999999999997,0.41333333333333333,1.2166666666666668,0.4266666666666667,0.8333333333333334,1.0,4.43,0.57,0.33,0.16,0.0,-0.33333333333333337,-1.25,0.8866666666666667,,,,,,,0,0.5,0.7142857142857143,-0.2142857142857143,0.7142857142857143,0.1111111111111111,1.1987999999999999,0.05280000000000001,1.146
