date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split
2026-03-28,Joe Pyfer,Israel Adesanya,Middleweight,5,0.5208,0.5317,Joe Pyfer,0.4669,0.0648,0.0648,4,Value,1,102.0,1,0,0,0.5958,MEDIUM,1,test
2026-03-28,Michael Chiesa,Niko Price,Welterweight,3,0.6423,0.7856,Michael Chiesa,0.854,-0.0684,0.0684,4,Value,-1,-901.0,1,1,1,0.8143,LOCK,1,test
2026-03-28,Julian Erosa,Lerryan Douglas,Featherweight,3,0.4494,0.2792,Lerryan Douglas,0.7185,0.0023,0.0023,0,Lock,1,-320.0,1,1,1,0.7348,HIGH,1,test
2026-03-28,Mansur Abdul-Malik,Yousri Belgaroui,Middleweight,3,0.2277,0.3654,Yousri Belgaroui,0.4216,0.213,0.213,6,Max Value,1,124.0,1,0,0,0.9195,LOCK,1,test
2026-03-28,Kyle Nelson,Terrance McKinney,Lightweight,3,0.2219,0.3033,Terrance McKinney,0.5667,0.1299,0.1299,6,Max Value,1,-150.0,1,1,1,0.9554,LOCK,1,test
2026-03-28,Tofiq Musayev,Ignacio Bahamondes,Lightweight,3,0.2599,0.2649,Ignacio Bahamondes,0.705,0.0301,0.0301,3,Watch,1,-295.0,1,1,1,0.9501,LOCK,0,test
2026-03-28,Lance Gibson Jr.,Chase Hooper,Lightweight,3,0.2097,0.2931,Chase Hooper,0.6955,0.0114,0.0114,1,Strong,1,-280.0,1,1,1,0.962,LOCK,0,test
2026-03-28,Marcin Tybura,Tyrell Fortune,Heavyweight,3,0.6202,0.4879,Tyrell Fortune,0.5188,-0.0067,0.0067,0,Lock,-1,-122.0,0,1,0,0.3989,LOW,1,test
2026-03-28,Navajo Stirling,Bruno Lopes,Light Heavyweight,3,0.7583,0.7592,Navajo Stirling,0.7696,-0.0104,0.0104,1,Strong,-1,-440.0,1,1,1,0.9285,LOCK,1,test
2026-03-21,Movsar Evloev,Lerone Murphy,Featherweight,5,0.4708,0.6392,Movsar Evloev,0.6804,-0.0412,0.0412,3,Watch,-1,-250.0,0,1,0,0.4678,LOW,1,test
2026-03-21,Michael Aswell Jr.,Luke Riley,Featherweight,3,0.3448,0.3551,Luke Riley,0.6597,-0.0147,0.0147,1,Strong,-1,-225.0,1,1,1,0.8122,LOCK,1,test
2026-03-21,Michael Page,Sam Patterson,Welterweight,3,0.499,0.5754,Michael Page,0.6097,-0.0343,0.0343,3,Watch,-1,-178.0,0,1,0,0.468,LOW,1,test
2026-03-21,Iwo Baraniewski,Austen Lane,Light Heavyweight,3,0.7311,0.7673,Iwo Baraniewski,0.8135,-0.0462,0.0462,3,Watch,-1,-590.0,1,1,1,0.9075,LOCK,1,test
2026-03-21,Christian Leroy Duncan,Roman Dolidze,Middleweight,3,0.7202,0.7982,Christian Leroy Duncan,0.7839,0.0143,0.0143,1,Strong,1,-470.0,1,1,1,0.9404,LOCK,1,test
2026-03-21,Danny Silva,Kurtis Campbell,Featherweight,3,0.5206,0.3641,Kurtis Campbell,0.6644,-0.0284,0.0284,2,Lean,-1,-230.0,0,1,0,0.5101,LOW,0,test
2026-03-21,Axel Sola,Mason Jones,Lightweight,3,0.2191,0.3339,Mason Jones,0.5514,0.1147,0.1147,6,Max Value,1,-138.0,1,1,1,0.9363,LOCK,1,test
2026-03-21,Losene Keita,Nathaniel Wood,Featherweight,3,0.2433,0.4774,Nathaniel Wood,0.3239,0.1988,0.1988,6,Max Value,1,194.0,1,0,0,0.8381,LOCK,1,test
2026-03-21,Mario Pinto,Felipe Franco,Heavyweight,3,0.7118,0.7854,Mario Pinto,0.8578,-0.0724,0.0724,4,Value,-1,-900.0,1,1,1,0.8527,LOCK,1,test
2026-03-21,Antonio Trocoli,Mantas Kondratavicius,Middleweight,3,0.0452,0.1757,Mantas Kondratavicius,0.8389,-0.0146,0.0146,1,Strong,-1,-750.0,1,1,1,0.9643,LOCK,1,test
2026-03-21,Brando Pericic,Louie Sutherland,Heavyweight,3,0.9539,0.7848,Brando Pericic,0.6924,0.0925,0.0925,5,Strong Value,1,-265.0,1,1,1,0.9738,LOCK,1,test
2026-03-21,Shem Rock,Abdul-Kareem Al-Selwady,Lightweight,3,0.4084,0.4134,Abdul-Kareem Al-Selwady,0.515,0.0716,0.0716,4,Value,1,-118.0,1,1,1,0.7207,HIGH,1,test
