date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type
2018-01-14,Danielle Taylor,JJ Aldrich,Women's Strawweight,3,56.42,56.42,Danielle Taylor,45.73,10.69,10.69,6,Max Value,1,110.0,1,0,0,,,0,train,CONFIRM_DOG
2018-01-14,Paige VanZant,Jessica-Rose Clark,Women's Flyweight,3,52.1,52.1,Paige VanZant,52.17,-0.07,0.07,0,Lock,-1,-120.0,1,1,1,,,0,train,NO_EDGE
2018-01-14,Kalindra Faria,Jessica Eye,Women's Flyweight,3,36.68,36.68,Jessica Eye,55.26,8.06,8.06,5,Strong Value,1,-135.0,1,1,1,,,1,train,CONFIRM_FAV
2018-01-14,Talita Bernardo,Irene Aldana,Women's Bantamweight,3,39.46,39.46,Irene Aldana,55.26,5.28,5.28,4,Value,1,-135.0,1,1,1,,,1,train,CONFIRM_FAV
2018-01-27,Katlyn Chookagian,Mara Romero Borella,Women's Flyweight,3,51.53,51.53,Katlyn Chookagian,63.45,-11.93,11.93,6,Max Value,-1,-190.0,1,1,1,,,1,train,NO_EDGE
2018-01-27,Justine Kish,Ji Yeon Kim,Women's Flyweight,3,60.78,60.78,Justine Kish,59.63,1.15,1.15,1,Strong,1,-160.0,1,1,1,,,0,train,CONFIRM_FAV
2018-01-27,Randa Markos,Juliana Lima,Women's Strawweight,3,53.39,53.39,Randa Markos,58.82,-5.43,5.43,4,Value,-1,-155.0,1,1,1,,,1,train,NO_EDGE
2018-02-03,Maia Stevenson,Polyana Viana,Women's Strawweight,3,32.09,32.09,Polyana Viana,78.57,-10.66,10.66,6,Max Value,-1,-440.0,1,1,1,,,1,train,NO_EDGE
2018-02-03,Valentina Shevchenko,Priscila Cachoeira,Women's Flyweight,3,84.61,84.61,Valentina Shevchenko,88.0,-3.39,3.39,3,Watch,-1,-1100.0,1,1,1,,,1,train,NO_EDGE
2018-02-18,Sarah Moras,Lucie Pudilova,Women's Bantamweight,3,42.49,42.49,Lucie Pudilova,57.98,-0.47,0.47,0,Lock,-1,-150.0,1,1,1,,,1,train,NO_EDGE
2018-02-24,Sara McMann,Marion Reneau,Women's Bantamweight,3,53.54,53.54,Sara McMann,63.45,-9.91,9.91,5,Strong Value,-1,-190.0,1,1,1,,,0,train,NO_EDGE
2018-02-24,Jessica Andrade,Tecia Torres,Women's Strawweight,3,67.47,67.47,Jessica Andrade,68.89,-1.42,1.42,1,Strong,-1,-250.0,1,1,1,,,1,train,NO_EDGE
2018-02-24,Maryna Moroz,Angela Hill,Women's Strawweight,3,46.04,46.04,Angela Hill,57.98,-4.02,4.02,3,Watch,-1,-150.0,1,1,1,,,1,train,NO_EDGE
2018-03-03,Cris Cyborg,Yana Kunitskaya,Women's Featherweight,5,65.68,65.68,Cris Cyborg,87.21,-21.53,21.53,6,Max Value,-1,-1000.0,1,1,1,,,1,train,NO_EDGE
2018-03-03,Ashley Yoder,Mackenzie Dern,Women's Strawweight,3,49.72,49.72,Mackenzie Dern,80.27,-30.0,30.0,6,Max Value,-1,-490.0,1,1,1,,,1,train,NO_EDGE
2018-03-03,Cat Zingano,Ketlen Vieira,Women's Bantamweight,3,40.39,40.39,Ketlen Vieira,65.07,-5.46,5.46,4,Value,-1,-210.0,1,1,1,,,1,train,NO_EDGE
2018-04-07,Karolina Kowalkiewicz,Felice Herrig,Women's Strawweight,3,55.71,55.71,Karolina Kowalkiewicz,63.45,-7.75,7.75,4,Value,-1,-190.0,1,1,1,,,1,train,NO_EDGE
