date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type,corner_swapped
2018-01-14,JJ Aldrich,Danielle Taylor,Women's Strawweight,3,43.58,43.58,Danielle Taylor,45.73,10.69,10.69,6,Max Value,1,110.0,1,0,0,,,0,train,CONFIRM_DOG,1
2018-01-14,Paige VanZant,Jessica-Rose Clark,Women's Flyweight,3,52.1,52.1,Paige VanZant,52.17,-0.07,0.07,0,Lock,-1,-120.0,1,1,1,,,0,train,NO_EDGE,0
2018-01-14,Kalindra Faria,Jessica Eye,Women's Flyweight,3,36.68,36.68,Jessica Eye,55.26,8.06,8.06,5,Strong Value,1,-135.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-01-14,Talita Bernardo,Irene Aldana,Women's Bantamweight,3,39.46,39.46,Irene Aldana,55.26,5.28,5.28,4,Value,1,-135.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-01-27,Mara Romero Borella,Katlyn Chookagian,Women's Flyweight,3,48.47,48.47,Katlyn Chookagian,63.45,-11.93,11.93,6,Max Value,-1,-190.0,1,1,1,,,1,train,NO_EDGE,1
2018-01-27,Ji Yeon Kim,Justine Kish,Women's Flyweight,3,39.22,39.22,Justine Kish,59.63,1.15,1.15,1,Strong,1,-160.0,1,1,1,,,0,train,CONFIRM_FAV,1
2018-01-27,Juliana Lima,Randa Markos,Women's Strawweight,3,46.61,46.61,Randa Markos,58.82,-5.43,5.43,4,Value,-1,-155.0,1,1,1,,,1,train,NO_EDGE,1
2018-02-03,Maia Stevenson,Polyana Viana,Women's Strawweight,3,32.09,32.09,Polyana Viana,78.57,-10.66,10.66,6,Max Value,-1,-440.0,1,1,1,,,1,train,NO_EDGE,0
2018-02-03,Valentina Shevchenko,Priscila Cachoeira,Women's Flyweight,3,84.61,84.61,Valentina Shevchenko,88.0,-3.39,3.39,3,Watch,-1,-1100.0,1,1,1,,,1,train,NO_EDGE,0
2018-02-18,Sarah Moras,Lucie Pudilova,Women's Bantamweight,3,42.49,42.49,Lucie Pudilova,57.98,-0.47,0.47,0,Lock,-1,-150.0,1,1,1,,,1,train,NO_EDGE,0
2018-02-24,Marion Reneau,Sara McMann,Women's Bantamweight,3,46.46,46.46,Sara McMann,63.45,-9.91,9.91,5,Strong Value,-1,-190.0,1,1,1,,,0,train,NO_EDGE,1
2018-02-24,Jessica Andrade,Tecia Torres,Women's Strawweight,3,67.47,67.47,Jessica Andrade,68.89,-1.42,1.42,1,Strong,-1,-250.0,1,1,1,,,1,train,NO_EDGE,0
2018-02-24,Maryna Moroz,Angela Hill,Women's Strawweight,3,46.04,46.04,Angela Hill,57.98,-4.02,4.02,3,Watch,-1,-150.0,1,1,1,,,1,train,NO_EDGE,0
