fighter,cluster,archetype,current_age,cum_fights,career_win_rate_traj,career_finish_rate,win_rate_l5_vs_career,finish_rate_trend,fights_since_finish,longest_lose_streak_ever
 Jun Yong Park,4,Active Performer,29.0,25,0.76,0.44,0.040000000000000036,-0.03999999999999998,2.0,1
AJ Cunningham,4,Active Performer,29.0,2,0.0,0.0,0.0,0.0,1.0,2
AJ Dobson,0,Fading Contender,29.0,20,0.7,0.6,-0.09999999999999998,-0.39999999999999997,4.0,2
AJ Fletcher,0,Fading Contender,29.0,20,0.7,0.65,-0.09999999999999998,-0.25,3.0,2
Aalon Cruz,4,Active Performer,36.6,15,0.7333333333333333,0.4,-0.1333333333333333,0.0,0.0,2
Aaron Phillips,4,Active Performer,29.0,17,0.7058823529411765,0.47058823529411764,-0.10588235294117654,-0.07058823529411762,1.0,3
Aaron Pico,2,Elite Finisher,29.0,19,0.7368421052631579,0.5789473684210527,0.06315789473684219,-0.17894736842105263,1.0,2
Aaron Riley,3,Veteran Contender,45.4,44,0.6818181818181818,0.4318181818181818,-0.28181818181818175,-0.4318181818181818,9.0,2
Aaron Rosa,1,Veteran Contender,43.0,24,0.75,0.4166666666666667,-0.35,-0.4166666666666667,4.0,2
Aaron Simpson,3,Veteran Contender,51.8,16,0.75,0.4375,-0.15000000000000002,-0.4375,8.0,2
Aaron Wilkinson,4,Active Performer,39.3,17,0.6470588235294118,0.5294117647058824,0.15294117647058825,0.2705882352941177,1.0,2
Abdul Rakhman Yakhyaev,2,Elite Finisher,29.0,9,1.0,0.8888888888888888,0.0,0.11111111111111116,0.0,0
Abdul Razak Alhassan,0,Fading Contender,29.0,20,0.6,0.6,-0.19999999999999996,-0.19999999999999996,1.0,4
Abdul-Kareem Al-Selwady,0,Fading Contender,29.0,20,0.8,0.5,0.0,-0.3,3.0,2
Abdul-Kerim Edilov,2,Elite Finisher,34.5,20,0.8,0.75,0.19999999999999996,0.25,0.0,1
Abel Trujillo,4,Active Performer,42.6,23,0.6521739130434783,0.391304347826087,-0.05217391304347829,-0.19130434782608696,1.0,2
Abner Lloveras,1,Veteran Contender,43.7,38,0.5789473684210527,0.3684210526315789,-0.5789473684210527,-0.3684210526315789,4.0,5
Abu Azaitar,0,Fading Contender,29.0,18,0.7777777777777778,0.4444444444444444,0.022222222222222254,-0.2444444444444444,3.0,1
Abubakar Nurmagomedov,3,Veteran Contender,29.0,21,0.8095238095238095,0.47619047619047616,-0.20952380952380956,-0.47619047619047616,7.0,2
Abus Magomedov,0,Fading Contender,29.0,35,0.8,0.6,-0.20000000000000007,-0.39999999999999997,0.0,2
Adam Cella,4,Active Performer,40.9,19,0.47368421052631576,0.47368421052631576,0.12631578947368421,0.12631578947368421,1.0,6
Adam Fugitt,0,Fading Contender,29.0,16,0.625,0.5,-0.22499999999999998,-0.3,3.0,2
Adam Milstead,2,Elite Finisher,38.9,11,0.7272727272727273,0.7272727272727273,-0.12727272727272732,-0.12727272727272732,1.0,2
Adam Wieczorek,2,Elite Finisher,34.3,13,0.8461538461538461,0.7692307692307693,-0.0461538461538461,-0.1692307692307693,1.0,1
Adam Yandiev,2,Elite Finisher,37.8,9,1.0,1.0,0.0,0.0,0.0,0
