R_fighter,B_fighter,date,Winner,target,weight_class,R_age,B_age,R_fights_since_finish,R_win_rate_l5_vs_career,R_finish_rate_trend,R_longest_lose_streak_ever,R_comeback_flag,R_avg_fights_between_losses,B_fights_since_finish,B_win_rate_l5_vs_career,B_finish_rate_trend,B_longest_lose_streak_ever,B_comeback_flag,B_avg_fights_between_losses,fights_since_finish_dif,win_rate_l5_vs_career_dif,finish_rate_trend_dif,longest_lose_streak_ever_dif,comeback_flag_dif,avg_fights_between_losses_dif,R_cum_fights,B_cum_fights
Mads Burnell,Mike Santiago,2018-01-14,Red,1,Featherweight,23,28,1.0,-0.20000000000000007,-0.09999999999999998,1.0,0.0,3.0,1.0,0.12258064516129041,0.25161290322580654,3.0,0.0,3.0,0.0,-0.3225806451612905,-0.3516129032258065,-2.0,0.0,0.0,10,31
Jeremy Stephens,Dooho Choi,2018-01-14,Red,1,Featherweight,31,26,6.0,-0.25116279069767444,-0.46511627906976744,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,-0.25116279069767444,-0.46511627906976744,2.0,1.0,0.0,43,4
Paige VanZant,Jessica-Rose Clark,2018-01-14,Blue,0,Women's Flyweight,23,30,1.0,-0.09999999999999998,0.0,1.0,0.0,3.0,8.0,-0.015384615384615441,-0.3076923076923077,2.0,1.0,3.0,-7.0,-0.08461538461538454,0.3076923076923077,-1.0,-1.0,0.0,10,13
Kamaru Usman,Emil Meek,2018-01-14,Red,1,Welterweight,30,29,0.0,0.08333333333333337,-0.38333333333333336,1.0,0.0,3.0,1.0,0.050000000000000044,-0.06666666666666665,2.0,1.0,3.0,-1.0,0.033333333333333326,-0.3166666666666667,-1.0,-1.0,0.0,12,12
Darren Elkins,Michael Johnson,2018-01-14,Red,1,Featherweight,33,31,1.0,0.16666666666666663,-0.16666666666666663,1.0,0.0,3.0,2.0,-0.3862068965517241,-0.14482758620689656,2.0,1.0,3.0,-1.0,0.5528735632183908,-0.021839080459770066,-1.0,-1.0,0.0,30,29
Danielle Taylor,JJ Aldrich,2018-01-14,Blue,0,Women's Strawweight,28,25,3.0,-0.018181818181818188,0.036363636363636376,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,-0.018181818181818188,0.036363636363636376,0.0,0.0,0.0,11,2
Matt Frevola,Polo Reyes,2018-01-14,Blue,0,Lightweight,27,33,0.0,0.0,-0.11428571428571432,0.0,0.0,3.0,2.0,0.03529411764705892,-0.10588235294117654,3.0,1.0,3.0,-2.0,-0.03529411764705892,-0.008403361344537785,-3.0,-1.0,0.0,7,17
Talita Bernardo,Irene Aldana,2018-01-14,Blue,0,Women's Bantamweight,30,29,1.0,0.08571428571428574,0.02857142857142858,1.0,0.0,3.0,2.0,-0.23636363636363633,-0.23636363636363633,2.0,0.0,3.0,-1.0,0.3220779220779221,0.2649350649350649,-1.0,0.0,0.0,7,11
Kyung Ho Kang,Guido Cannetti,2018-01-14,Red,1,Bantamweight,30,38,1.0,-0.01904761904761909,-0.12380952380952381,2.0,1.0,3.0,3.0,-0.09999999999999998,-0.19999999999999996,2.0,0.0,3.0,-2.0,0.08095238095238089,0.07619047619047614,0.0,1.0,0.0,21,10
Kalindra Faria,Jessica Eye,2018-01-14,Blue,0,Women's Flyweight,31,31,2.0,-0.12,-0.07999999999999996,3.0,1.0,3.0,4.0,-0.41111111111111115,-0.07777777777777778,4.0,1.0,3.0,-2.0,0.29111111111111115,-0.002222222222222181,-1.0,0.0,0.0,25,18
James Krause,Alex White,2018-01-14,Red,1,Lightweight,31,29,2.0,-0.17419354838709677,-0.4451612903225806,2.0,1.0,3.0,0.0,-0.4,-0.4666666666666666,2.0,1.0,3.0,2.0,0.22580645161290325,0.021505376344086002,0.0,0.0,0.0,31,15
Sabah Homasi,Abdul Razak Alhassan,2018-01-20,Blue,0,Welterweight,29,32,2.0,-0.011111111111111183,0.0444444444444444,2.0,0.0,3.0,0.0,-0.0888888888888888,-0.0888888888888888,1.0,0.0,3.0,2.0,0.07777777777777761,0.1333333333333332,1.0,0.0,0.0,18,9
Stipe Miocic,Francis Ngannou,2018-01-20,Red,1,Heavyweight,35,31,0.0,0.09999999999999998,0.25,1.0,0.0,3.0,0.0,0.08333333333333337,0.08333333333333337,1.0,0.0,3.0,0.0,0.016666666666666607,0.16666666666666663,0.0,0.0,0.0,20,12
Daniel Cormier,Volkan Oezdemir,2018-01-20,Red,1,Light Heavyweight,38,28,1.0,-0.10476190476190472,-0.17142857142857137,1.0,0.0,3.0,0.0,0.05882352941176472,-0.16470588235294115,1.0,0.0,3.0,1.0,-0.16358543417366944,-0.006722689075630228,0.0,0.0,0.0,21,17
Gian Villante,Francimar Barroso,2018-01-20,Red,1,Light Heavyweight,32,37,2.0,-0.22499999999999998,-0.09999999999999998,2.0,0.0,3.0,8.0,-0.3307692307692307,-0.5384615384615384,2.0,1.0,3.0,-6.0,0.10576923076923073,0.43846153846153846,0.0,-1.0,0.0,24,26
Thomas Almeida,Rob Font,2018-01-20,Blue,0,Bantamweight,26,30,1.0,-0.31666666666666665,-0.275,1.0,0.0,3.0,1.0,-0.22352941176470587,0.0117647058823529,1.0,0.0,3.0,0.0,-0.09313725490196079,-0.2867647058823529,0.0,0.0,0.0,24,17
Matt Bessette,Enrique Barzola,2018-01-20,Blue,0,Featherweight,33,28,1.0,0.06666666666666676,0.30000000000000004,2.0,0.0,3.0,4.0,0.03529411764705892,-0.27058823529411763,1.0,0.0,3.0,-3.0,0.03137254901960784,0.5705882352941176,1.0,0.0,0.0,30,17
Dustin Ortiz,Alexandre Pantoja,2018-01-20,Red,1,Flyweight,29,27,0.0,-0.30833333333333335,-0.2583333333333333,2.0,1.0,3.0,0.0,0.09999999999999998,-0.050000000000000044,1.0,0.0,3.0,0.0,-0.4083333333333333,-0.20833333333333326,1.0,1.0,0.0,24,20
Dan Ige,Julio Arce,2018-01-20,Blue,0,Featherweight,26,28,0.0,0.11111111111111116,-0.06666666666666665,1.0,0.0,3.0,0.0,0.1333333333333333,0.1333333333333333,2.0,1.0,3.0,0.0,-0.022222222222222143,-0.19999999999999996,-1.0,-1.0,0.0,9,15
Islam Makhachev,Gleison Tibau,2018-01-20,Red,1,Lightweight,26,34,3.0,-0.1333333333333333,-0.19999999999999996,1.0,0.0,3.0,7.0,-0.1333333333333333,-0.37777777777777777,2.0,0.0,3.0,-4.0,0.0,0.1777777777777778,-1.0,0.0,0.0,15,45
Kyle Bochniak,Brandon Davis,2018-01-20,Red,1,Featherweight,30,27,3.0,-0.1777777777777778,-0.0444444444444444,1.0,0.0,3.0,1.0,0.07272727272727275,-0.05454545454545451,2.0,1.0,3.0,2.0,-0.25050505050505056,0.01010101010101011,-1.0,-1.0,0.0,9,11
Calvin Kattar,Shane Burgos,2018-01-20,Red,1,Featherweight,29,26,7.0,0.10526315789473684,-0.47368421052631576,1.0,0.0,3.0,1.0,0.0,-0.20000000000000007,0.0,0.0,3.0,6.0,0.10526315789473684,-0.2736842105263157,1.0,0.0,0.0,19,10
Jordan Rinaldi,Gregor Gillespie,2018-01-27,Blue,0,Lightweight,30,31,0.0,0.07777777777777783,0.09999999999999998,3.0,1.0,3.0,0.0,0.0,-0.20000000000000007,0.0,0.0,3.0,0.0,0.07777777777777783,0.30000000000000004,3.0,1.0,0.0,18,10
Drew Dober,Frank Camacho,2018-01-27,Red,1,Welterweight,29,28,0.0,-0.07857142857142863,-0.09999999999999998,2.0,1.0,3.0,2.0,-0.20769230769230773,-0.29230769230769227,1.0,0.0,3.0,-2.0,0.1291208791208791,0.1923076923076923,1.0,1.0,0.0,28,26
Jacare Souza,Derek Brunson,2018-01-27,Red,1,Middleweight,38,34,1.0,-0.17272727272727273,0.009090909090909038,2.0,0.0,3.0,1.0,-0.31999999999999995,-0.16000000000000003,3.0,1.0,3.0,0.0,0.14727272727272722,0.16909090909090907,-1.0,-1.0,0.0,22,25
Dennis Bermudez,Andre Fili,2018-01-27,Blue,0,Featherweight,31,27,6.0,-0.29565217391304344,-0.30434782608695654,2.0,1.0,3.0,4.0,-0.13913043478260867,-0.2782608695652174,2.0,1.0,3.0,2.0,-0.15652173913043477,-0.026086956521739146,0.0,0.0,0.0,23,23
Erik Koch,Bobby Green,2018-01-27,Blue,0,Lightweight,29,31,1.0,-0.35,-0.19999999999999996,2.0,1.0,3.0,6.0,-0.51875,-0.53125,4.0,0.0,3.0,-5.0,0.16875000000000007,0.33125000000000004,-2.0,1.0,0.0,20,32
Austin Arnett,Cory Sandhagen,2018-01-27,Blue,0,Featherweight,26,25,1.0,-0.033333333333333326,0.13333333333333341,1.0,0.0,3.0,0.0,-0.07499999999999996,-0.09999999999999998,1.0,0.0,3.0,1.0,0.04166666666666663,0.2333333333333334,0.0,0.0,0.0,18,8
Katlyn Chookagian,Mara Romero Borella,2018-01-27,Red,1,Women's Flyweight,29,31,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,0.0,0.15294117647058825,-0.07058823529411762,3.0,1.0,3.0,2.0,-0.2196078431372549,0.0039215686274509665,-1.0,-1.0,0.0,6,17
Vinc Pichel,Joaquim Silva,2018-01-27,Red,1,Lightweight,35,28,0.0,-0.10909090909090902,-0.32727272727272727,1.0,0.0,3.0,1.0,0.0,-0.20000000000000007,0.0,0.0,3.0,-1.0,-0.10909090909090902,-0.1272727272727272,1.0,0.0,0.0,11,10
Justine Kish,Ji Yeon Kim,2018-01-27,Blue,0,Women's Flyweight,29,28,5.0,-0.05714285714285705,-0.2857142857142857,1.0,0.0,3.0,1.0,0.13333333333333341,-0.0444444444444444,2.0,1.0,3.0,4.0,-0.19047619047619047,-0.2412698412698413,-1.0,-1.0,0.0,7,9
Niko Price,George Sullivan,2018-01-27,Red,1,Welterweight,28,36,1.0,-0.2333333333333334,-0.35,1.0,0.0,3.0,3.0,-0.13913043478260867,-0.2782608695652174,2.0,0.0,3.0,-2.0,-0.09420289855072472,-0.07173913043478258,-1.0,0.0,0.0,12,23
Mirsad Bektic,Godofredo Pepey,2018-01-27,Red,1,Featherweight,26,30,1.0,-0.11666666666666659,-0.2666666666666666,1.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,-1.0,-0.04999999999999993,-0.19999999999999996,-1.0,0.0,0.0,12,6
Randa Markos,Juliana Lima,2018-01-27,Red,1,Women's Strawweight,32,35,7.0,-0.18333333333333335,-0.25,1.0,0.0,3.0,6.0,-0.09230769230769231,-0.15384615384615385,1.0,0.0,3.0,1.0,-0.09102564102564104,-0.09615384615384615,0.0,0.0,0.0,12,13
Michel Prazeres,Desmond Green,2018-02-03,Red,1,Lightweight,36,28,0.0,0.07999999999999996,-0.03999999999999998,1.0,0.0,3.0,5.0,0.03076923076923077,-0.23076923076923078,1.0,0.0,3.0,-5.0,0.04923076923076919,0.1907692307692308,0.0,0.0,0.0,25,26
Lyoto Machida,Eryk Anders,2018-02-03,Red,1,Middleweight,39,30,3.0,-0.5333333333333332,-0.16666666666666663,3.0,0.0,3.0,1.0,0.0,-0.09999999999999998,0.0,0.0,3.0,2.0,-0.5333333333333332,-0.06666666666666665,3.0,0.0,0.0,30,10
Valentina Shevchenko,Priscila Cachoeira,2018-02-03,Red,1,Women's Flyweight,29,29,1.0,-0.22352941176470587,-0.38823529411764707,1.0,0.0,3.0,0.0,0.0,0.30000000000000004,0.0,0.0,3.0,1.0,-0.22352941176470587,-0.6882352941176471,1.0,0.0,0.0,17,8
Tim Johnson,Marcelo Golm,2018-02-03,Red,1,Heavyweight,32,25,5.0,-0.33333333333333326,-0.6,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,-0.33333333333333326,-0.6,1.0,0.0,0.0,15,6
Deiveson Figueiredo,Joseph Morales,2018-02-03,Red,1,Flyweight,30,23,1.0,0.0,-0.0461538461538461,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,-0.0461538461538461,0.0,0.0,0.0,13,10
Douglas Silva de Andrade,Marlon Vera,2018-02-03,Red,1,Bantamweight,32,25,1.0,-0.2928571428571429,-0.35,1.0,0.0,3.0,1.0,-0.10588235294117654,-0.18823529411764706,2.0,1.0,3.0,0.0,-0.1869747899159664,-0.16176470588235292,-1.0,-1.0,0.0,28,17
Alan Patrick,Damir Hadzovic,2018-02-03,Red,1,Lightweight,34,31,4.0,-0.1333333333333333,-0.2,1.0,0.0,3.0,0.0,0.014285714285714346,-0.04285714285714293,2.0,1.0,3.0,4.0,-0.14761904761904765,-0.15714285714285708,-1.0,-1.0,0.0,15,14
Maia Stevenson,Polyana Viana,2018-02-03,Blue,0,Women's Strawweight,35,25,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,0.0,0.09090909090909094,0.09090909090909094,1.0,0.0,3.0,2.0,-0.1575757575757576,-0.1575757575757576,1.0,0.0,0.0,6,11
Iuri Alcantara,Joe Soto,2018-02-03,Red,1,Bantamweight,37,30,2.0,-0.3727272727272727,-0.21363636363636362,2.0,0.0,3.0,2.0,-0.15000000000000002,-0.22499999999999998,3.0,1.0,3.0,0.0,-0.22272727272727266,0.011363636363636354,-1.0,-1.0,0.0,44,24
Thiago Santos,Anthony Smith,2018-02-03,Red,1,Middleweight,34,29,0.0,-0.16190476190476188,0.02857142857142858,2.0,1.0,3.0,0.0,0.09268292682926838,-0.05853658536585371,4.0,0.0,3.0,0.0,-0.25458768873403026,0.08710801393728229,-2.0,1.0,0.0,21,41
Sergio Moraes,Tim Means,2018-02-03,Red,1,Welterweight,35,33,4.0,-0.15000000000000002,-0.3,1.0,0.0,3.0,4.0,-0.31794871794871793,-0.3641025641025641,2.0,1.0,3.0,0.0,0.1679487179487179,0.0641025641025641,-1.0,-1.0,0.0,16,39
Tyson Pedro,Saparbeg Safarov,2018-02-10,Red,1,Light Heavyweight,26,31,1.0,-0.07499999999999996,-0.07499999999999996,1.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,-1.0,-0.008333333333333304,-0.008333333333333304,-1.0,0.0,0.0,8,6
Mark Hunt,Curtis Blaydes,2018-02-10,Blue,0,Heavyweight,43,26,0.0,0.09999999999999998,0.21538461538461534,6.0,1.0,3.0,0.0,-0.018181818181818188,-0.12727272727272732,1.0,0.0,3.0,0.0,0.11818181818181817,0.34265734265734266,5.0,1.0,0.0,26,11
Yoel Romero,Luke Rockhold,2018-02-10,Red,1,Middleweight,40,33,1.0,-0.05714285714285705,-0.11428571428571432,1.0,0.0,3.0,0.0,-0.042105263157894646,0.06315789473684219,1.0,0.0,3.0,1.0,-0.015037593984962405,-0.17744360902255651,0.0,0.0,0.0,14,19
Tai Tuivasa,Cyril Asker,2018-02-10,Red,1,Heavyweight,24,32,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.15000000000000002,0.016666666666666607,1.0,0.0,3.0,0.0,0.15000000000000002,-0.016666666666666607,-1.0,0.0,0.0,7,12
Jake Matthews,Li Jingliang,2018-02-10,Red,1,Welterweight,23,29,4.0,-0.21250000000000002,-0.425,2.0,1.0,3.0,0.0,0.022222222222222254,0.0444444444444444,1.0,0.0,3.0,4.0,-0.23472222222222228,-0.4694444444444444,1.0,1.0,0.0,16,18
Damien Brown,Dong Hyun Ma,2018-02-10,Blue,0,Lightweight,33,29,3.0,-0.20714285714285707,-0.19285714285714284,4.0,0.0,3.0,0.0,0.023076923076923106,-0.06153846153846154,2.0,1.0,3.0,3.0,-0.23021978021978018,-0.1313186813186813,2.0,-1.0,0.0,28,26
Rob Wilkinson,Israel Adesanya,2018-02-10,Blue,0,Middleweight,25,28,1.0,-0.11666666666666659,-0.033333333333333326,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.11666666666666659,-0.033333333333333326,1.0,0.0,0.0,12,11
