feature,xgb_importance
SApM_dif,0.023124767
B_last3_win_rate,0.01831103
R_Str_Acc,0.016238604
SLpM_dif,0.015702983
career_win_rate_dif,0.014709286
B_Str_Acc,0.012261107
B_total_title_bouts,0.012201158
last5_finish_rate_dif,0.011923931
B_layoff_90_180,0.0113695245
R_Sub_Avg,0.010913012
B_southpaw,0.010894211
TD_Def_dif,0.010571279
R_longest_win_streak,0.010499594
last5_won_dif,0.01040874
sig_str_dif,0.010360106
B_age,0.010264057
R_age,0.010263451
B_fights_since_finish,0.010170362
R_total_title_bouts,0.010141943
R_fights_since_finish,0.010111646
elo_dif,0.009912196
B_longest_lose_streak_ever,0.009847832
B_Sub_Avg,0.00977991
B_TD_Def,0.00928533
B_elo_trend,0.009095839
B_SApM,0.009069405
R_SLpM,0.008962914
R_TD_Def,0.008943295
B_last10_win_rate,0.008914962
B_avg_SIG_STR_pct,0.008914146
R_avg_TD_pct,0.008887898
B_SLpM,0.00888676
weight_class_ord,0.008879417
R_avg_TD_landed,0.008820626
R_last10_win_rate,0.008789499
R_avg_SIG_STR_landed,0.008780526
R_layoff_gt365,0.00873689
B_age_x_exp,0.008704583
R_sub_finish_rate,0.008615758
sub_dif,0.008545715
B_TD_Acc,0.008517988
R_SApM,0.0084596565
R_TD_Acc,0.008398491
B_avg_TD_landed,0.008307755
avg_td_dif,0.008245272
opp_quality_dif,0.00819531
B_longest_win_streak,0.008145836
height_dif,0.008105613
win_dif,0.008074886
TD_Avg_dif,0.00806871
R_ko_finish_rate,0.008011717
B_win_rate_l5_vs_career,0.007896557
B_TD_Avg,0.007786008
R_elo_trend,0.007752354
R_career_win_rate,0.0077413265
R_TD_Avg,0.0076009138
B_Str_Def,0.0075532664
B_avg_TD_pct,0.0075258375
R_last3_win_rate,0.007517264
ko_finish_rate_dif,0.007516623
R_elo,0.007514474
B_last5_finish_rate,0.007479691
R_layoff_90_180,0.0074333614
B_career_win_rate,0.0074153864
B_avg_SUB_ATT,0.007395772
R_trend_score,0.0073947976
B_avg_SIG_STR_landed,0.007377917
age_x_exp_dif,0.007372786
R_Height_cms,0.0073187607
R_opp_quality,0.0072738775
B_ko_finish_rate,0.007226302
B_losses,0.0071672937
R_avg_SIG_STR_pct,0.007108685
Str_Def_dif,0.0070682825
elo_trend_dif,0.0070376084
R_cum_fights,0.006998388
last10_win_rate_dif,0.0069666835
R_wins,0.006940859
R_losses,0.006876989
trend_score_dif,0.006788882
loss_dif,0.006765058
B_sub_finish_rate,0.0067610345
fights_since_finish_dif,0.0067412388
R_avg_SUB_ATT,0.0067197774
B_trend_score,0.006631736
reach_dif,0.0065972204
B_opp_quality,0.006597102
R_current_win_streak,0.006564819
finish_rate_trend_dif,0.0064950367
B_Height_cms,0.0064715156
Sub_Avg_dif,0.006405891
sub_finish_rate_dif,0.0063876384
win_streak_dif,0.0063165594
R_age_x_exp,0.0063086404
B_finish_rate_trend,0.0063085663
B_layoff_gt365,0.0062869657
R_Str_Def,0.0062827445
R_win_rate_l5_vs_career,0.006277779
R_last5_won,0.00616623
B_elo,0.0061181746
win_rate_l5_vs_career_dif,0.006109464
R_Reach_cms,0.0061085476
ko_dif,0.006055359
B_cum_fights,0.0060549183
R_finish_rate_trend,0.0057951934
lose_streak_dif,0.005758739
R_southpaw,0.0057219868
R_last5_finish_rate,0.0057026055
B_current_win_streak,0.005673685
B_Reach_cms,0.005507731
age_dif,0.0053260685
total_title_bout_dif,0.00530307
R_comeback_flag,0.0052963994
B_layoff_lt90,0.0051625674
R_longest_lose_streak_ever,0.005089556
R_layoff_lt90,0.00504086
B_wins,0.0048712487
last3_win_rate_dif,0.0048569753
longest_lose_streak_ever_dif,0.0047580684
R_current_lose_streak,0.004535095
orth_clash,0.0043269624
B_layoff_180_365,0.0043167453
south_clash,0.004011937
B_last5_won,0.0037745875
comeback_flag_dif,0.0035011168
R_layoff_180_365,0.0033830032
B_current_lose_streak,0.0024452119
B_comeback_flag,0.0019160255
title_bout_bin,0.0
