feature,xgb_importance
SApM_dif,0.022946443
B_last3_win_rate,0.020629272
SLpM_dif,0.015397346
R_Str_Acc,0.01405877
B_Str_Acc,0.013172819
TD_Def_dif,0.013165889
career_win_rate_dif,0.012913401
B_avg_TD_landed,0.012673964
B_age,0.012133724
R_avg_TD_landed,0.011341266
B_Sub_Avg,0.011226477
last5_finish_rate_dif,0.011090268
R_comeback_flag,0.011047829
sig_str_dif,0.010905328
B_total_title_bouts,0.010686726
R_SLpM,0.010541585
south_clash,0.010210094
R_age,0.010153954
R_Sub_Avg,0.01002287
R_southpaw,0.009958093
B_longest_win_streak,0.009913934
B_avg_SUB_ATT,0.009769947
elo_dif,0.009449857
B_last5_won,0.00942681
B_longest_lose_streak_ever,0.009340982
B_Str_Def,0.00926914
last5_won_dif,0.009246402
B_elo_trend,0.009163291
R_avg_TD_pct,0.009054735
B_TD_Def,0.009025145
ko_finish_rate_dif,0.008960602
R_losses,0.008936445
R_longest_lose_streak_ever,0.008932114
B_fights_since_finish,0.008890465
B_avg_TD_pct,0.008887371
opp_quality_dif,0.008879466
B_TD_Acc,0.008840313
Str_Def_dif,0.0087747425
avg_td_dif,0.00867652
B_avg_SIG_STR_pct,0.008577114
R_age_x_exp,0.008537839
total_title_bout_dif,0.008497261
win_streak_dif,0.008476978
R_last10_win_rate,0.008447272
B_cum_fights,0.008431746
R_opp_quality,0.008257985
R_TD_Def,0.008203611
elo_trend_dif,0.008165846
fights_since_finish_dif,0.00815823
TD_Avg_dif,0.008125477
B_layoff_90_180,0.008115794
B_current_win_streak,0.008107471
R_layoff_lt90,0.008002398
R_TD_Acc,0.007985961
B_losses,0.007981352
weight_class_ord,0.007948074
B_SLpM,0.00793035
R_SApM,0.00793014
B_SApM,0.007843136
R_Height_cms,0.007793922
age_x_exp_dif,0.007699089
R_Str_Def,0.0076839062
R_current_lose_streak,0.0076138987
R_career_win_rate,0.007613478
R_TD_Avg,0.0075970367
R_trend_score,0.0075328476
B_win_rate_l5_vs_career,0.007484074
R_elo_trend,0.007472252
R_avg_SIG_STR_pct,0.0074201236
reach_dif,0.007325584
B_avg_SIG_STR_landed,0.0073207165
R_sub_finish_rate,0.0073183025
B_trend_score,0.0072719017
R_cum_fights,0.007252457
last3_win_rate_dif,0.0072494694
loss_dif,0.0072184424
ko_dif,0.007214788
win_rate_l5_vs_career_dif,0.0071891565
R_avg_SIG_STR_landed,0.0071335314
B_elo,0.007054545
B_finish_rate_trend,0.007043356
Sub_Avg_dif,0.0069927387
B_ko_finish_rate,0.0069821784
comeback_flag_dif,0.0069797994
height_dif,0.006916824
R_layoff_180_365,0.006909821
B_career_win_rate,0.0068968637
R_win_rate_l5_vs_career,0.0068398174
B_sub_finish_rate,0.006762047
sub_finish_rate_dif,0.0067311055
finish_rate_trend_dif,0.006725539
B_Height_cms,0.006688742
R_Reach_cms,0.0066335015
R_current_win_streak,0.0065926453
B_TD_Avg,0.00656456
B_Reach_cms,0.006489335
B_layoff_180_365,0.006482344
trend_score_dif,0.0064735943
R_fights_since_finish,0.0064571975
win_dif,0.006387466
longest_lose_streak_ever_dif,0.006387434
R_ko_finish_rate,0.0063365134
B_wins,0.0062877634
lose_streak_dif,0.006259375
B_opp_quality,0.006132468
B_last5_finish_rate,0.00613122
R_avg_SUB_ATT,0.0059784018
R_last5_finish_rate,0.005934
R_longest_win_streak,0.0058428627
R_elo,0.005721608
B_age_x_exp,0.0056396895
R_layoff_gt365,0.005614046
R_finish_rate_trend,0.0055811834
R_layoff_90_180,0.005499099
age_dif,0.0053817765
B_current_lose_streak,0.0051027364
R_wins,0.0050218236
B_layoff_lt90,0.005005461
sub_dif,0.004967346
B_last10_win_rate,0.0047589624
orth_clash,0.0030839054
R_last5_won,0.0018849432
R_last3_win_rate,0.0
B_comeback_flag,0.0
