fighter,current_elo,last_fight_date,total_fights
John Howard,1410.246612101484,2015-12-10,11
Daniel Roberts,1460.9868658435266,2012-01-20,7
Brandon Vera,1401.7159934715132,2013-08-31,4
Jon Jones,1843.4245893920538,2024-11-16,19
Junior Dos Santos,1543.769747142196,2020-12-12,19
Gabriel Gonzaga,1476.06103355294,2016-04-10,12
Cheick Kongo,1560.5700098893794,2013-04-27,6
Paul Buentello,1440.0,2010-03-21,1
Alessio Sakara,1361.9494441269928,2013-10-26,5
James Irvin,1390.259841440617,2010-08-01,2
Eric Schafer,1368.5492791083395,2012-01-20,3
Jason Brilz,1390.419876316107,2011-11-19,4
Mike Pierce,1563.353207873581,2015-12-11,12
Julio Paulino,1404.0,2010-09-25,2
Brendan Schaub,1535.1617485935542,2014-12-06,10
Chase Gormley,1440.0,2010-03-21,1
Clay Guida,1434.4494219771186,2024-12-07,27
Shannon Gugerty,1440.0,2010-03-21,1
Duane Ludwig,1355.1543741273724,2012-09-29,6
Darren Elkins,1564.5182136886453,2025-04-12,30
Eliot Marshall,1359.416219082702,2011-10-29,3
Vladimir Matyushenko,1462.357777095292,2013-01-26,6
Frank Mir,1485.2274115868524,2016-03-19,12
Shane Carwin,1457.4753204833605,2011-06-11,3
Jim Miller,1634.1533182741202,2025-04-12,39
Mark Bocek,1559.5855281633012,2014-04-16,7
Ben Saunders,1362.130842256597,2019-12-14,14
Jon Fitch,1539.3398750192882,2013-02-02,5
Kurt Pellegrino,1468.4708028921018,2011-03-19,3
Fabricio Camoes,1383.0674738987202,2014-10-25,5
Georges St-Pierre,1748.3636944520456,2017-11-04,7
Dan Hardy,1485.7929718011576,2012-09-29,6
Nate Diaz,1650.5832331957254,2022-09-10,18
Rory Markham,1440.0,2010-03-27,1
Rousimar Palhares,1592.4388267060838,2013-10-09,8
Tomasz Drwal,1393.417037600427,2010-09-15,2
Ricardo Almeida,1507.9854369980817,2011-03-19,4
Matt Brown,1569.053466053303,2023-05-13,25
Matthew Riddle,1581.1595034708394,2012-11-17,6
Greg Soto,1450.5261305995416,2011-01-01,3
Rodney Wallace,1418.4580442816518,2010-08-07,2
Jared Hamman,1391.911047114633,2013-08-31,6
Yushin Okami,1499.2352238711437,2018-12-01,12
Lucio Linhares,1440.0,2010-03-31,1
Kenny Florian,1508.2261728776966,2011-10-08,4
Takanori Gomi,1317.4990674303813,2017-09-22,13
Roy Nelson,1495.519373574574,2017-04-15,18
Stefan Struve,1416.2504947319667,2020-10-24,20
Nate Quarry,1440.0,2010-03-31,1
Jorge Rivera,1504.5941941199005,2012-01-20,4
Ross Pearson,1377.171107897856,2019-03-30,23
Dennis Siver,1553.2189096439017,2017-06-25,13
Andre Winner,1395.76982211862,2011-07-02,4
Rafaello Oliveira,1359.798434458793,2014-02-22,6
Charlie Brenneman,1326.376728619825,2014-11-08,11
Jason High,1505.0405132303192,2014-06-07,5
Gerald Harris,1547.063845444598,2010-11-20,3
Mario Miranda,1399.3031358251435,2011-03-26,4
Caol Uno,1440.0,2010-03-31,1
Gleison Tibau,1457.8616399644004,2018-06-01,18
Rob Emerson,1452.0,2010-03-31,1
Nik Lentz,1562.0069178414533,2021-01-23,22
Jacob Volkmann,1559.6616031896074,2013-02-02,8
Ronys Torres,1464.0,2010-03-31,1
Nick Osipczak,1380.9964806372188,2010-11-13,3
Rick Story,1639.3922035743408,2016-08-20,16
Alexander Gustafsson,1459.7822148594746,2022-07-23,17
