fighter,opponent,date,elo_before,elo_after,result,elo_trend
AJ Cunningham,Ludovit Klein,2024-03-02,1500.0,1455.166190769245,0.0,
AJ Cunningham,SuYoung You,2025-03-15,1466.3746430769338,1429.4486053536382,0.0,
AJ Dobson,Jacob Malkoun,2022-02-12,1500.0,1451.6257873866562,0.0,
AJ Dobson,Armen Petrosyan,2022-10-22,1451.6257873866562,1410.0615281926114,0.0,
AJ Dobson,Tafon Nchukwi,2023-08-12,1410.0615281926114,1460.8710514877257,1.0,
AJ Dobson,Edmen Shahbazyan,2024-03-23,1460.8710514877257,1409.676282402288,0.0,-39.12894851227429
AJ Fletcher,Matthew Semelsberger,2022-03-12,1500.0,1465.433143278949,0.0,
AJ Fletcher,Ange Loosa,2022-08-20,1465.433143278949,1415.7091612257059,0.0,
AJ Fletcher,Themba Gorimbo,2023-02-18,1415.7091612257059,1489.9866473781099,1.0,
AJ Fletcher,Bryan Battle,2023-09-23,1489.9866473781099,1452.724149828253,0.0,-10.013352621890135
Aalon Cruz,Spike Carlyle,2020-02-29,1500.0,1440.0,0.0,
Aalon Cruz,Uros Medic,2021-03-06,1455.0,1402.7280588288506,0.0,
Aaron Phillips,Sam Sicilia,2014-05-24,1500.0,1444.7588690855468,0.0,
Aaron Phillips,Matt Hobar,2014-08-23,1444.7588690855468,1395.5581703417972,0.0,
Aaron Phillips,Jack Shore,2020-07-15,1421.6686277563479,1383.5460895277702,0.0,
Aaron Phillips,Gaston Bolanos,2023-04-15,1412.6595671458276,1376.4781777873077,0.0,-87.34043285417238
Aaron Pico,Lerone Murphy,2025-08-16,1500.0,1482.9100340255056,0.0,
Aaron Riley,Joe Brammer,2010-05-29,1500.0,1548.0,1.0,
Aaron Riley,Tony Ferguson,2011-09-24,1536.0,1480.1380733672197,0.0,
Aaron Riley,Justin Salas,2013-07-27,1485.1035550254148,1449.7144643574284,0.0,
Aaron Rosa,Joey Beltran,2011-06-11,1500.0,1430.8910997124317,0.0,
Aaron Rosa,Matt Lucas,2011-11-12,1430.8910997124317,1488.314887331576,1.0,
Aaron Rosa,James Te Huna,2012-03-02,1488.314887331576,1432.5645610230024,0.0,
Aaron Simpson,Chris Leben,2010-06-19,1500.0,1440.0,0.0,
Aaron Simpson,Mark Munoz,2010-11-20,1440.0,1403.384075720547,0.0,
Aaron Simpson,Mario Miranda,2011-03-26,1403.384075720547,1458.366488406644,1.0,
Aaron Simpson,Brad Tavares,2011-07-02,1458.366488406644,1524.88962086952,1.0,-41.633511593355934
Aaron Simpson,Eric Schafer,2011-10-08,1524.88962086952,1564.56248830308,1.0,84.88962086952006
Aaron Simpson,Ronny Markes,2012-02-15,1564.56248830308,1527.067260931803,0.0,161.17841258253316
Aaron Simpson,Kenny Robertson,2012-07-11,1527.067260931803,1566.9278440408812,1.0,68.70077252515898
Aaron Simpson,Mike Pierce,2012-10-05,1566.9278440408812,1516.2044393365056,0.0,42.038223171361096
Aaron Wilkinson,Cody McKenzie,2010-12-04,1500.0,1440.0,0.0,
Abdul Rakhman Yakhyaev,Rafael Cerqueira,2025-11-22,1500.0,1537.877983177151,1.0,
Abdul Razak Alhassan,Charlie Ward,2016-11-19,1500.0,1560.0,1.0,
Abdul Razak Alhassan,Omari Akhmedov,2017-05-28,1560.0,1520.6165963628303,0.0,
Abdul Razak Alhassan,Sabah Homasi,2017-12-02,1520.6165963628303,1572.1716209542776,1.0,
Abdul Razak Alhassan,Sabah Homasi,2018-01-20,1572.1716209542776,1607.4293537778165,1.0,72.17162095427761
Abdul Razak Alhassan,Niko Price,2018-09-08,1607.4293537778165,1678.0670722779694,1.0,47.42935377781646
Abdul Razak Alhassan,Mounir Lazzez,2020-07-15,1633.550304208477,1567.9576945637841,0.0,112.93370784564672
Abdul Razak Alhassan,Khaos Williams,2020-11-14,1567.9576945637841,1508.112065690591,0.0,-4.213926390493498
Abdul Razak Alhassan,Jacob Malkoun,2021-04-17,1508.112065690591,1450.820761786094,0.0,-99.3172880872255
Abdul Razak Alhassan,Alessio Di Chirico,2021-08-28,1450.820761786094,1520.876958287008,1.0,-182.72954242238302
Abdul Razak Alhassan,Joaquin Buckley,2022-02-19,1520.876958287008,1488.3700519251533,0.0,-47.08073627677618
Abdul Razak Alhassan,Claudio Ribeiro,2023-01-14,1488.3700519251533,1550.3777230046915,1.0,-19.742013765437605
Abdul Razak Alhassan,Joe Pyfer,2023-10-07,1550.3777230046915,1501.6982595506543,0.0,99.55696121859751
Abdul Razak Alhassan,Cesar Almeida,2025-01-11,1501.2736946629907,1452.3446386987343,0.0,-19.603263624017245
Abdul-Kareem Al-Selwady,Loik Radzhabov,2024-03-02,1500.0,1437.928497068115,0.0,
Abdul-Kareem Al-Selwady,Shem Rock,2026-03-21,1453.4463728010862,1502.9131661240351,1.0,
Abdul-Kerim Edilov,Bojan Mihajlovic,2017-09-02,1500.0,1542.752758961352,1.0,
Abel Trujillo,Marcus LeVesseur,2012-12-08,1500.0,1555.207307380012,1.0,
Abel Trujillo,Khabib Nurmagomedov,2013-05-25,1555.207307380012,1521.9018776313135,0.0,
Abel Trujillo,Roger Bowling,2013-12-14,1521.9018776313135,1567.6947968945183,1.0,
Abel Trujillo,Jamie Varner,2014-02-01,1567.6947968945183,1621.4493796919462,1.0,67.69479689451828
Abel Trujillo,Tony Ferguson,2014-12-06,1621.4493796919462,1574.1303953251124,0.0,66.24207231193418
Abel Trujillo,Gleison Tibau,2015-11-07,1574.1303953251124,1629.6354354953676,1.0,52.22851769379895
Abel Trujillo,Tony Sims,2016-01-02,1629.6354354953676,1670.3846824702673,1.0,61.9406386008493
Abel Trujillo,Jordan Rinaldi,2016-05-29,1670.3846824702673,1696.5668087072593,1.0,48.9353027783211
Abel Trujillo,James Vick,2017-02-04,1696.5668087072593,1628.6545294255736,0.0,122.43641338214684
Abel Trujillo,John Makdessi,2017-12-16,1628.6545294255736,1563.6242327505668,0.0,-0.9809060697939458
Abner Lloveras,Chris Gruetzemacher,2015-12-11,1500.0,1452.0,0.0,
Abu Azaitar,Vitor Miranda,2018-07-22,1500.0,1548.1643086012111,1.0,
Abu Azaitar,Marc-Andre Barriault,2021-03-27,1536.1232314509084,1460.1533499727677,0.0,
Abu Azaitar,Sedriques Dumas,2023-10-21,1470.1150124795759,1422.6315198134555,0.0,
Abubakar Nurmagomedov,David Zawada,2019-11-09,1500.0,1429.9355288646498,0.0,
Abubakar Nurmagomedov,Jared Gooden,2021-03-27,1447.4516466484874,1496.6699912875365,1.0,
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,2022-10-22,1497.5024934656524,1539.2517888179175,1.0,
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,2023-06-03,1539.2517888179175,1512.9725984507104,0.0,39.251788817917486
Abus Magomedov,Dustin Stoltzfus,2022-09-03,1500.0,1548.7806802945918,1.0,
Abus Magomedov,Sean Strickland,2023-07-01,1548.7806802945918,1519.8851524265037,0.0,
Abus Magomedov,Caio Borralho,2023-11-04,1519.8851524265037,1494.4132225539927,0.0,
Abus Magomedov,Warlley Alves,2024-05-18,1494.4132225539927,1537.4238727132147,1.0,-5.586777446007318
Abus Magomedov,Brunno Ferreira,2024-10-26,1537.4238727132147,1609.9622213619502,1.0,-11.356807581377097
Abus Magomedov,Michel Pereira,2025-04-26,1609.9622213619502,1671.9209925721195,1.0,90.0770689354465
Abus Magomedov,Joe Pyfer,2025-10-04,1671.9209925721195,1618.451869296988,0.0,177.50777001812685
Adam Cella,Tor Troeng,2013-04-06,1500.0,1440.0,0.0,
Adam Fugitt,Michael Morales,2022-07-30,1500.0,1451.8721185389265,0.0,
Adam Fugitt,Yusaku Kinoshita,2023-02-04,1451.8721185389265,1520.1307526010871,1.0,
Adam Fugitt,Mike Malott,2023-06-10,1520.1307526010871,1475.4962137636462,0.0,
Adam Fugitt,Josh Quinlan,2024-06-15,1481.6221603227345,1513.1050403915328,1.0,-18.377839677265456
Adam Fugitt,Islam Dulatov,2025-07-19,1509.8287802936497,1448.1318627243077,0.0,57.9566617547232
Adam Fugitt,Ty Miller,2026-01-24,1448.1318627243077,1397.0232166024332,0.0,-71.99888987677946
Adam Milstead,Chris de la Rocha,2016-05-29,1500.0,1548.4099436502017,1.0,
Adam Milstead,Jordan Johnson,2018-03-03,1536.3074577376512,1506.988460190462,0.0,
Adam Milstead,Mike Rodriguez,2018-12-15,1506.988460190462,1436.7728413580555,0.0,
Adam Wieczorek,Anthony Hamilton,2017-11-18,1500.0,1529.8605559200957,1.0,
Adam Wieczorek,Arjan Bhullar,2018-04-14,1529.8605559200957,1592.9645994537525,1.0,
Adam Wieczorek,Marcos Rogerio de Lima,2018-11-03,1592.9645994537525,1533.211556956915,0.0,
Adam Yandiev,Jordan Johnson,2018-09-15,1500.0,1461.587534866765,0.0,
Adlan Amagov,Chris Spang,2013-04-06,1500.0,1548.0,1.0,
Adlan Amagov,TJ Waldburger,2013-10-19,1548.0,1619.860495113684,1.0,
Adrian Yanez,Victor Rodriguez,2020-10-31,1500.0,1560.0,1.0,
Adrian Yanez,Gustavo Lopez,2021-03-20,1560.0,1614.6235467922863,1.0,
Adrian Yanez,Randy Costa,2021-07-24,1614.6235467922863,1664.1112426017055,1.0,
Adrian Yanez,Davey Grant,2021-11-20,1664.1112426017055,1691.5629780149377,1.0,164.1112426017055
Adrian Yanez,Tony Kelley,2022-06-18,1691.5629780149377,1734.5743730089034,1.0,131.5629780149377
Adrian Yanez,Rob Font,2023-04-08,1734.5743730089034,1665.5883811491844,0.0,119.95082621661709
Adrian Yanez,Jonathan Martinez,2023-10-14,1665.5883811491844,1624.8308072500568,0.0,1.477138547478944
Adrian Yanez,Vinicius Salvador,2024-05-18,1624.8308072500568,1651.7431502546833,1.0,-66.73217076488095
Adrian Yanez,Daniel Marcos,2024-12-14,1651.7431502546833,1615.5400117117779,0.0,-82.83122275422011
Adrian Yanez,Ricky Simon,2026-03-28,1586.6550087838334,1593.217325165721,0.5,-78.93337236535103
Adriano Martins,Daron Cruickshank,2013-11-09,1500.0,1573.2694091144347,1.0,
Adriano Martins,Donald Cerrone,2014-01-25,1573.2694091144347,1530.8075183122082,0.0,
Adriano Martins,Juan Puig,2014-07-06,1530.8075183122082,1574.5624223356824,1.0,
Adriano Martins,Rustam Khabilov,2015-02-22,1574.5624223356824,1614.5744575017363,1.0,74.56242233568241
Adriano Martins,Islam Makhachev,2015-10-03,1614.5744575017363,1665.2265382854841,1.0,41.30504838730167
Adriano Martins,Leonardo Santos,2016-10-08,1623.9199037141132,1593.578880945913,0.0,93.11238540190493
Adriano Martins,Kajan Johnson,2017-09-09,1593.578880945913,1521.5075727735539,0.0,19.01645861023053
Aiemann Zahabi,Reginaldo Vieira,2017-02-19,1500.0,1547.404691244538,1.0,
Aiemann Zahabi,Ricardo Ramos,2017-11-04,1547.404691244538,1487.7247680211606,0.0,
Aiemann Zahabi,Vince Morales,2019-05-04,1490.7935760158705,1439.5173346787828,0.0,
